,Synsets,domain,nrhypos,nrdirhypers,nrpartrels,depthfromtopsynset,glosslength,minwordlength,nroflemmas,polyscore_max,ngrams_last_mean,partrels_normalised,depthfromtopsynset_normalised_x,glosslength_normalised_x,All_CHILDES_mean_x,All_CHILDES_mean_log_x,CHILDES_sum_x,CHILDES_Sum_log_x,CHILDES_max_x,CHILDES_max_log_x,CHILDES_Rel_Mean,CHILDES_Rel_Sum,CHILDES_Rel_max,CHILDES_Rel_Mean_log,CHILDES_Rel_Sum_log,CHILDES_Rel_max_log,"CHILDES_per100,000",KBNC_mean_x,KBNC_mean_log_x,KBNC_Sum_x,KBNC_Sum_log_x,KBNC_max_x,KBNC_max_log_x,KBNC_Rel_Mean,KBNC_Rel_Sum,KBNC_Rel_max,KBNC_Rel_Mean_log,KBNC_Rel_Sum_log,KBNC_Rel_max_log,"KBNC_per100,000",CABNC_mean_x,CABNC_mean_log_x,CABNC_sum_x,CABNC_Sum_log_x,CABNC_max_x,CABNC_max_log_x,CABNC_Rel_Mean,CABNC_Rel_Sum,CABNC_Rel_max,CABNC_Rel_Mean_log,CABNC_Rel_Sum_log,CABNC_Rel_max_log,"CABNC_per100,000",BNC_mean_x,BNC_mean_log_x,BNC_sum_x,BNC_Sum_log_x,BNC_max_x,BNC_max_log_x,BNC_Rel_Mean,BNC_Rel_Sum,BNC_Rel_max,BNC_Rel_Mean_log,BNC_Rel_Sum_log,BNC_Rel_max_log,"BNC_per100,000",KBNC_appear
831,Synset('thong.n.02'),garm,0,1,0,10,81,5,1,5,-14.177925281965692,0.0,1.052836052836053,1.3383124009267162,1.0,0.0,1.0,0.0,1.0,0.0,1.7555588013887174e-07,1.7555588013887174e-07,1.7555588013887174e-07,-15.55530843937102,-15.55530843937102,-15.55530843937102,0.0175555880138871,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.146191391511586e-17,4.146191391511586e-17,4.146191391511586e-17,-37.72175640501975,-37.72175640501975,-37.72175640501975,4.146191391511586e-12,21.0,3.044522437723423,21.0,3.044522437723423,21.0,3.044522437723423,1.8753672035962042e-07,1.8753672035962042e-07,1.8753672035962042e-07,-15.489291168792494,-15.489291168792494,-15.489291168792494,0.018753672035962,0
832,Synset('drawers.n.01'),garm,0,1,0,10,22,6,5,7,-13.500461254096503,0.0,1.052836052836053,0.3634922570418241,51.0,3.9318256327243257,102.0,4.624972813284271,84.0,4.430816798843313,8.953349887082458e-06,1.7906699774164915e-05,1.4746693931665225e-05,-11.623482806646694,-10.930335626086748,-11.124491640527706,1.7906699774164916,17.0,2.833213344056216,34.0,3.5263605246161616,21.0,3.044522437723423,1.551226518308579e-05,3.102453036617158e-05,1.916220993204716e-05,-11.073879544818976,-10.380732364259032,-10.86257045115177,3.1024530366171583,28.0,3.332204510175204,84.0,4.430816798843313,60.0,4.0943445622221,1.160933589623244e-05,3.4828007688697314e-05,2.4877148349069512e-05,-11.363700964904083,-10.265088676235976,-10.601560912857188,3.482800768869732,368.5,5.909440711629391,1474.0,7.295735072749282,719.0,6.577861357721047,3.290822926310482e-06,1.3163291705241928e-05,6.420900092312718e-06,-12.624372894886529,-11.238078533766636,-11.95595224879487,1.3163291705241928,1
833,Synset('bloomers.n.01'),garm,0,1,0,10,24,5,4,6,-12.782221928077115,0.0,1.052836052836053,0.3965370076819899,219.3333333333333,5.390592642657207,658.0,6.489204931325317,446.0,6.100318952020064,3.850525637712586e-05,0.0001155157691313,7.829792254193679e-05,-10.164715796713812,-9.066103508045703,-9.454989487350955,11.55157691313776,8.0,2.079441541679836,32.0,3.4657359027997265,13.0,2.5649493574615367,7.299889497922725e-06,2.91995579916909e-05,1.186232043412443e-05,-11.827651347195358,-10.441356986075467,-11.342143531413656,2.91995579916909,29.5,3.3843902633457743,118.0,4.770684624465665,60.0,4.0943445622221,1.2231264604959177e-05,4.892505841983671e-05,2.4877148349069512e-05,-11.311515211733516,-9.925220850613623,-10.601560912857188,4.89250584198367,372.0,5.918893854273146,1488.0,7.305188215393037,605.0,6.405228458030842,3.322079046370419e-06,1.3288316185481676e-05,5.402843610360493e-06,-12.614919752242772,-11.22862539112288,-12.128585148485076,1.3288316185481674,1
834,Synset('ballet_skirt.n.01'),garm,0,1,0,9,35,4,2,2,-16.872434727337406,0.0,0.9475524475524476,0.5782831362029021,1.0,0.0,1.0,0.0,1.0,0.0,1.7555588013887174e-07,1.7555588013887174e-07,1.7555588013887174e-07,-15.55530843937102,-15.55530843937102,-15.55530843937102,0.0175555880138871,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.146191391511586e-17,4.146191391511586e-17,4.146191391511586e-17,-37.72175640501975,-37.72175640501975,-37.72175640501975,4.146191391511586e-12,9.0,2.19722457733622,9.0,2.19722457733622,9.0,2.19722457733622,8.037288015412303e-08,8.037288015412303e-08,8.037288015412303e-08,-16.3365890291797,-16.3365890291797,-16.3365890291797,0.0080372880154123,0
835,Synset('mess_jacket.n.01'),garm,0,1,0,11,100,11,3,1,-18.74377226226997,0.0,1.1581196581196582,1.6522375320082916,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.146191391511586e-17,4.146191391511586e-17,4.146191391511586e-17,-37.72175640501975,-37.72175640501975,-37.72175640501975,4.146191391511586e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,8.930320017124781e-19,8.930320017124781e-19,8.930320017124781e-19,-41.55966453645637,-41.55966453645637,-41.55966453645637,8.930320017124783e-14,0
836,Synset('long_johns.n.01'),garm,0,1,0,10,29,10,1,1,-16.882419496087586,0.0,1.052836052836053,0.4791488842824045,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.146191391511586e-17,4.146191391511586e-17,4.146191391511586e-17,-37.72175640501975,-37.72175640501975,-37.72175640501975,4.146191391511586e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,8.930320017124781e-19,8.930320017124781e-19,8.930320017124781e-19,-41.55966453645637,-41.55966453645637,-41.55966453645637,8.930320017124783e-14,0
837,Synset('undies.n.01'),garm,0,1,0,11,17,6,1,1,-16.330159593253043,0.0,1.1581196581196582,0.2808803804414095,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.146191391511586e-17,4.146191391511586e-17,4.146191391511586e-17,-37.72175640501975,-37.72175640501975,-37.72175640501975,4.146191391511586e-12,34.0,3.5263605246161616,34.0,3.5263605246161616,34.0,3.5263605246161616,3.036308805822426e-07,3.036308805822426e-07,3.036308805822426e-07,-15.007453081899756,-15.007453081899756,-15.007453081899756,0.0303630880582242,0
838,Synset('lingerie.n.01'),garm,2,1,0,10,34,8,2,1,-15.203405617754736,0.0,1.052836052836053,0.5617607608828191,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.146191391511586e-17,4.146191391511586e-17,4.146191391511586e-17,-37.72175640501975,-37.72175640501975,-37.72175640501975,4.146191391511586e-12,66.0,4.189654742026425,66.0,4.189654742026425,66.0,4.189654742026425,5.894011211302356e-07,5.894011211302356e-07,5.894011211302356e-07,-14.344158864489492,-14.344158864489492,-14.344158864489492,0.0589401121130235,0
839,Synset('hand_tool.n.01'),,156,1,1,8,31,9,1,1,-17.132983856263312,6.894736842105264,0.8098918083462133,0.4831073043064477,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.146191391511586e-17,4.146191391511586e-17,4.146191391511586e-17,-37.72175640501975,-37.72175640501975,-37.72175640501975,4.146191391511586e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,8.930320017124781e-19,8.930320017124781e-19,8.930320017124781e-19,-41.55966453645637,-41.55966453645637,-41.55966453645637,8.930320017124783e-14,0
840,Synset('tool.n.01'),,347,1,0,7,47,4,1,8,-10.17331504046507,4e-10,0.784409257003654,0.7830496197030061,44.0,3.784189633918261,44.0,3.784189633918261,44.0,3.784189633918261,7.724458726110356e-06,7.724458726110356e-06,7.724458726110356e-06,-11.771118805452758,-11.771118805452758,-11.771118805452758,0.7724458726110356,4.0,1.3862943611198906,4.0,1.3862943611198906,4.0,1.3862943611198906,3.6499447489613626e-06,3.6499447489613626e-06,3.6499447489613626e-06,-12.520798527755304,-12.520798527755304,-12.520798527755304,0.3649944748961362,9.0,2.19722457733622,9.0,2.19722457733622,9.0,2.19722457733622,3.731572252360426e-06,3.731572252360426e-06,3.731572252360426e-06,-12.49868089774307,-12.49868089774307,-12.49868089774307,0.3731572252360426,2058.0,7.629489916393995,2058.0,7.629489916393995,2058.0,7.629489916393995,1.83785985952428e-05,1.83785985952428e-05,1.83785985952428e-05,-10.904323690121924,-10.904323690121924,-10.904323690121924,1.83785985952428,1
841,Synset('implement.n.01'),,726,1,0,6,68,9,1,4,-11.059880705323511,2.1481481481481484e-10,0.6385321100917432,1.037348763808522,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1.0,0.0,1.0,0.0,1.0,0.0,9.124861872403406e-07,9.124861872403406e-07,9.124861872403406e-07,-13.907092888875194,-13.907092888875194,-13.907092888875194,0.091248618724034,3.0,1.0986122886681098,3.0,1.0986122886681098,3.0,1.0986122886681098,1.2438574174534757e-06,1.2438574174534757e-06,1.2438574174534757e-06,-13.59729318641118,-13.59729318641118,-13.59729318641118,0.1243857417453475,1527.0,7.331060305218632,1527.0,7.331060305218632,1527.0,7.331060305218632,1.363659866614954e-05,1.363659866614954e-05,1.363659866614954e-05,-11.202753301297284,-11.202753301297284,-11.202753301297284,1.3636598666149542,1
842,Synset('instrumentality.n.03'),,5494,1,0,5,83,15,2,4,-13.33655522060034,2.5e-10,0.78125,1.3833333333333333,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1.0,0.0,1.0,0.0,1.0,0.0,4.146191391511585e-07,4.146191391511585e-07,4.146191391511585e-07,-14.69590547507929,-14.69590547507929,-14.69590547507929,0.0414619139151158,81.0,4.394449154672439,162.0,5.087596335232384,150.0,5.010635294096256,7.233559213871073e-07,1.4467118427742146e-06,1.3395480025687173e-06,-14.13936445184348,-13.446217271283532,-13.523178312419663,0.1446711842774214,0
843,Synset('artifact.n.01'),,10504,1,0,4,34,8,2,1,-13.427769204466534,8.666666666666667e-10,0.636085626911315,0.4787435689141619,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1.7555588013887174e-17,1.7555588013887174e-17,1.7555588013887174e-17,-38.58115936931148,-38.58115936931148,-38.58115936931148,1.7555588013887177e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,9.124861872403407e-17,9.124861872403407e-17,9.124861872403407e-17,-36.93294381881565,-36.93294381881565,-36.93294381881565,9.124861872403408e-12,1e-10,-23.025850929940457,1e-10,-23.025850929940457,1e-10,-23.025850929940457,4.146191391511586e-17,4.146191391511586e-17,4.146191391511586e-17,-37.72175640501975,-37.72175640501975,-37.72175640501975,4.146191391511586e-12,137.5,4.923623917106626,275.0,5.616771097666572,235.0,5.459585514144159,1.2279190023546574e-06,2.4558380047093148e-06,2.098625204024324e-06,-13.610189689409292,-12.917042508849349,-13.07422809237176,0.2455838004709315,0
844,Synset('whole.n.02'),,27878,1,2,3,58,4,2,8,-8.749051644135335,8.0,0.7058823529411765,1.1180722891566266,223.5,5.409411414053624,447.0,6.102558594613569,428.0,6.059123195581797,3.923673921103783e-05,7.847347842207566e-05,7.51379166994371e-05,-10.145897025317396,-9.45274984475745,-9.496185243789224,7.847347842207566,163.0,5.093750200806762,326.0,5.786897381366708,315.0,5.752572638825633,0.0001487352485201,0.0002974704970403,0.0002874331489807,-8.813342688068431,-8.120195507508486,-8.154520250049561,29.747049704035103,264.0,5.575949103146316,528.0,6.269096283706261,481.0,6.175867270105761,0.0001094594527359,0.0002189189054718,0.0001994318059317,-9.119956371932972,-8.426809191373028,-8.520038204973527,21.89189054718117,19280.0,9.866823568164536,38560.0,10.55997074872448,29735.0,10.300080082140694,0.0001721765699301,0.0003443531398603,0.0002655430657092,-8.666990038351381,-7.973842857791436,-8.233733524375225,34.43531398603316,1
