,Synset,Name
11602,Synset('el_salvadoran_monetary_unit.n.01'),el_salvadoran_monetary_unit.n.01
11603,Synset('estonian_monetary_unit.n.01'),estonian_monetary_unit.n.01
11604,Synset('ethiopian_monetary_unit.n.01'),ethiopian_monetary_unit.n.01
11605,Synset('euro.n.01'),euro.n.01
11606,Synset('finnish_monetary_unit.n.01'),finnish_monetary_unit.n.01
11607,Synset('fractional_monetary_unit.n.01'),fractional_monetary_unit.n.01
11608,Synset('franc.n.01'),franc.n.01
11609,Synset('gambian_monetary_unit.n.01'),gambian_monetary_unit.n.01
11610,Synset('georgian_monetary_unit.n.01'),georgian_monetary_unit.n.01
11611,Synset('german_monetary_unit.n.01'),german_monetary_unit.n.01
11612,Synset('ghanian_monetary_unit.n.01'),ghanian_monetary_unit.n.01
11613,Synset('greek_monetary_unit.n.01'),greek_monetary_unit.n.01
11614,Synset('guatemalan_monetary_unit.n.01'),guatemalan_monetary_unit.n.01
11615,Synset('guinea-bissau_monetary_unit.n.01'),guinea-bissau_monetary_unit.n.01
11616,Synset('guinean_monetary_unit.n.01'),guinean_monetary_unit.n.01
11617,Synset('haitian_monetary_unit.n.01'),haitian_monetary_unit.n.01
11618,Synset('honduran_monetary_unit.n.01'),honduran_monetary_unit.n.01
11619,Synset('hungarian_monetary_unit.n.01'),hungarian_monetary_unit.n.01
11620,Synset('icelandic_monetary_unit.n.01'),icelandic_monetary_unit.n.01
11621,Synset('indian_monetary_unit.n.01'),indian_monetary_unit.n.01
11622,Synset('indonesian_monetary_unit.n.01'),indonesian_monetary_unit.n.01
11623,Synset('iranian_monetary_unit.n.01'),iranian_monetary_unit.n.01
11624,Synset('iraqi_monetary_unit.n.01'),iraqi_monetary_unit.n.01
11625,Synset('irish_monetary_unit.n.01'),irish_monetary_unit.n.01
11626,Synset('israeli_monetary_unit.n.01'),israeli_monetary_unit.n.01
11627,Synset('italian_monetary_unit.n.01'),italian_monetary_unit.n.01
11628,Synset('japanese_monetary_unit.n.01'),japanese_monetary_unit.n.01
11629,Synset('jordanian_monetary_unit.n.01'),jordanian_monetary_unit.n.01
11630,Synset('kazakhstani_monetary_unit.n.01'),kazakhstani_monetary_unit.n.01
11631,Synset('kenyan_monetary_unit.n.01'),kenyan_monetary_unit.n.01
11632,Synset('kuwaiti_monetary_unit.n.01'),kuwaiti_monetary_unit.n.01
11633,Synset('kyrgyzstani_monetary_unit.n.01'),kyrgyzstani_monetary_unit.n.01
11634,Synset('laotian_monetary_unit.n.01'),laotian_monetary_unit.n.01
11635,Synset('latvian_monetary_unit.n.01'),latvian_monetary_unit.n.01
11636,Synset('lebanese_monetary_unit.n.01'),lebanese_monetary_unit.n.01
11637,Synset('lesotho_monetary_unit.n.01'),lesotho_monetary_unit.n.01
11638,Synset('libyan_monetary_unit.n.01'),libyan_monetary_unit.n.01
11639,Synset('lithuanian_monetary_unit.n.01'),lithuanian_monetary_unit.n.01
11640,Synset('macao_monetary_unit.n.01'),macao_monetary_unit.n.01
11641,Synset('malawian_monetary_unit.n.01'),malawian_monetary_unit.n.01
11642,Synset('malaysian_monetary_unit.n.01'),malaysian_monetary_unit.n.01
11643,Synset('maltese_monetary_unit.n.01'),maltese_monetary_unit.n.01
11644,Synset('mauritanian_monetary_unit.n.01'),mauritanian_monetary_unit.n.01
11645,Synset('mauritian_monetary_unit.n.01'),mauritian_monetary_unit.n.01
11646,Synset('mexican_monetary_unit.n.01'),mexican_monetary_unit.n.01
11647,Synset('moldovan_monetary_unit.n.01'),moldovan_monetary_unit.n.01
11648,Synset('mongolian_monetary_unit.n.01'),mongolian_monetary_unit.n.01
11649,Synset('moroccan_monetary_unit.n.01'),moroccan_monetary_unit.n.01
11650,Synset('mozambique_monetary_unit.n.01'),mozambique_monetary_unit.n.01
11651,Synset('myanmar_monetary_unit.n.01'),myanmar_monetary_unit.n.01
11652,Synset('nepalese_monetary_unit.n.01'),nepalese_monetary_unit.n.01
11653,Synset('nicaraguan_monetary_unit.n.01'),nicaraguan_monetary_unit.n.01
11654,Synset('nigerian_monetary_unit.n.01'),nigerian_monetary_unit.n.01
11655,Synset('north_korean_monetary_unit.n.01'),north_korean_monetary_unit.n.01
11656,Synset('norwegian_monetary_unit.n.01'),norwegian_monetary_unit.n.01
11657,Synset('omani_monetary_unit.n.01'),omani_monetary_unit.n.01
11658,Synset('pakistani_monetary_unit.n.01'),pakistani_monetary_unit.n.01
11659,Synset('panamanian_monetary_unit.n.01'),panamanian_monetary_unit.n.01
11660,Synset('papuan_monetary_unit.n.01'),papuan_monetary_unit.n.01
11661,Synset('paraguayan_monetary_unit.n.01'),paraguayan_monetary_unit.n.01
11662,Synset('peruvian_monetary_unit.n.01'),peruvian_monetary_unit.n.01
11663,Synset('philippine_monetary_unit.n.01'),philippine_monetary_unit.n.01
11664,Synset('polish_monetary_unit.n.01'),polish_monetary_unit.n.01
11665,Synset('portuguese_monetary_unit.n.01'),portuguese_monetary_unit.n.01
11666,Synset('qatari_monetary_unit.n.01'),qatari_monetary_unit.n.01
11667,Synset('romanian_monetary_unit.n.01'),romanian_monetary_unit.n.01
11668,Synset('russian_monetary_unit.n.01'),russian_monetary_unit.n.01
11669,Synset('sao_thome_e_principe_monetary_unit.n.01'),sao_thome_e_principe_monetary_unit.n.01
11670,Synset('saudi_arabian_monetary_unit.n.01'),saudi_arabian_monetary_unit.n.01
11671,Synset('seychelles_monetary_unit.n.01'),seychelles_monetary_unit.n.01
11672,Synset('sierra_leone_monetary_unit.n.01'),sierra_leone_monetary_unit.n.01
11673,Synset('slovakian_monetary_unit.n.01'),slovakian_monetary_unit.n.01
11674,Synset('somalian_monetary_unit.n.01'),somalian_monetary_unit.n.01
11675,Synset('south_african_monetary_unit.n.01'),south_african_monetary_unit.n.01
11676,Synset('south_korean_monetary_unit.n.01'),south_korean_monetary_unit.n.01
11677,Synset('spanish_monetary_unit.n.01'),spanish_monetary_unit.n.01
11678,Synset('sri_lankan_monetary_unit.n.01'),sri_lankan_monetary_unit.n.01
11679,Synset('sudanese_monetary_unit.n.01'),sudanese_monetary_unit.n.01
11680,Synset('surinamese_monetary_unit.n.01'),surinamese_monetary_unit.n.01
11681,Synset('swaziland_monetary_unit.n.01'),swaziland_monetary_unit.n.01
11682,Synset('swedish_monetary_unit.n.01'),swedish_monetary_unit.n.01
11683,Synset('syrian_monetary_unit.n.01'),syrian_monetary_unit.n.01
11684,Synset('tajikistani_monetary_unit.n.01'),tajikistani_monetary_unit.n.01
11685,Synset('tanzanian_monetary_unit.n.01'),tanzanian_monetary_unit.n.01
11686,Synset('thai_monetary_unit.n.01'),thai_monetary_unit.n.01
11687,Synset('tongan_monetary_unit.n.01'),tongan_monetary_unit.n.01
11688,Synset('tunisian_monetary_unit.n.01'),tunisian_monetary_unit.n.01
11689,Synset('turkish_monetary_unit.n.01'),turkish_monetary_unit.n.01
11690,Synset('turkmen_monetary_unit.n.01'),turkmen_monetary_unit.n.01
11691,Synset('ugandan_monetary_unit.n.01'),ugandan_monetary_unit.n.01
11692,Synset('ukranian_monetary_unit.n.01'),ukranian_monetary_unit.n.01
11693,Synset('united_arab_emirate_monetary_unit.n.01'),united_arab_emirate_monetary_unit.n.01
11694,Synset('uruguayan_monetary_unit.n.01'),uruguayan_monetary_unit.n.01
11695,Synset('uzbekistani_monetary_unit.n.01'),uzbekistani_monetary_unit.n.01
11696,Synset('venezuelan_monetary_unit.n.01'),venezuelan_monetary_unit.n.01
11697,Synset('vietnamese_monetary_unit.n.01'),vietnamese_monetary_unit.n.01
11698,Synset('western_samoan_monetary_unit.n.01'),western_samoan_monetary_unit.n.01
11699,Synset('yemeni_monetary_unit.n.01'),yemeni_monetary_unit.n.01
11700,Synset('yugoslavian_monetary_unit.n.01'),yugoslavian_monetary_unit.n.01
11701,Synset('zairese_monetary_unit.n.01'),zairese_monetary_unit.n.01
11702,Synset('zambian_monetary_unit.n.01'),zambian_monetary_unit.n.01
11703,Synset('dol.n.01'),dol.n.01
11704,Synset('advantage.n.02'),advantage.n.02
11705,Synset('match_point.n.01'),match_point.n.01
11706,Synset('point_after.n.01'),point_after.n.01
11707,Synset('set_point.n.01'),set_point.n.01
11708,Synset('bar.n.07'),bar.n.07
11709,Synset('barye.n.01'),barye.n.01
11710,Synset('millibar.n.01'),millibar.n.01
11711,Synset('pascal.n.01'),pascal.n.01
11712,Synset('pounds_per_square_inch.n.01'),pounds_per_square_inch.n.01
11713,Synset('standard_atmosphere.n.01'),standard_atmosphere.n.01
11714,Synset('torr.n.01'),torr.n.01
11715,Synset('milline.n.01'),milline.n.01
11716,Synset('bel.n.01'),bel.n.01
11717,Synset('decibel.n.01'),decibel.n.01
11718,Synset('phon.n.01'),phon.n.01
11719,Synset('sone.n.01'),sone.n.01
11720,Synset('erlang.n.01'),erlang.n.01
11721,Synset('degree.n.06'),degree.n.06
11722,Synset('degree_day.n.02'),degree_day.n.02
11723,Synset('kelvin.n.01'),kelvin.n.01
11724,Synset('millidegree.n.01'),millidegree.n.01
11725,Synset('rankine.n.01'),rankine.n.01
11726,Synset('poise.n.01'),poise.n.01
11727,Synset('acre-foot.n.01'),acre-foot.n.01
11728,Synset('acre_inch.n.01'),acre_inch.n.01
11729,Synset('board_foot.n.01'),board_foot.n.01
11730,Synset('cord.n.02'),cord.n.02
11731,Synset('cran.n.01'),cran.n.01
11732,Synset('cubic_foot.n.01'),cubic_foot.n.01
11733,Synset('cubic_inch.n.01'),cubic_inch.n.01
11734,Synset('cubic_yard.n.01'),cubic_yard.n.01
11735,Synset('dry_unit.n.01'),dry_unit.n.01
11736,Synset('fathom.n.02'),fathom.n.02
11737,Synset('field_capacity.n.01'),field_capacity.n.01
11738,Synset('hin.n.01'),hin.n.01
11739,Synset('homer.n.03'),homer.n.03
11740,Synset('last.n.06'),last.n.06
11741,Synset('liquid_unit.n.01'),liquid_unit.n.01
11742,Synset('standard.n.03'),standard.n.03
11743,Synset('apothecaries'_unit.n.01'),apothecaries_unit.n.01
11744,Synset('arroba.n.01'),arroba.n.01
11745,Synset('catty.n.01'),catty.n.01
11746,Synset('crith.n.01'),crith.n.01
11747,Synset('frail.n.01'),frail.n.01
11748,Synset('last.n.05'),last.n.05
11749,Synset('maund.n.01'),maund.n.01
11750,Synset('obolus.n.01'),obolus.n.01
11751,Synset('oka.n.01'),oka.n.01
11752,Synset('picul.n.01'),picul.n.01
11753,Synset('pood.n.01'),pood.n.01
11754,Synset('rotl.n.01'),rotl.n.01
11755,Synset('tael.n.01'),tael.n.01
11756,Synset('tod.n.01'),tod.n.01
11757,Synset('troy_unit.n.01'),troy_unit.n.01
11758,Synset('welterweight.n.01'),welterweight.n.01
11759,Synset('british_thermal_unit.n.01'),british_thermal_unit.n.01
11760,Synset('calorie.n.01'),calorie.n.01
11761,Synset('calorie.n.02'),calorie.n.02
11762,Synset('electron_volt.n.01'),electron_volt.n.01
11763,Synset('erg.n.01'),erg.n.01
11764,Synset('foot-pound.n.01'),foot-pound.n.01
11765,Synset('foot-poundal.n.01'),foot-poundal.n.01
11766,Synset('foot-ton.n.01'),foot-ton.n.01
11767,Synset('horsepower-hour.n.01'),horsepower-hour.n.01
11768,Synset('joule.n.01'),joule.n.01
11769,Synset('kilogram-meter.n.01'),kilogram-meter.n.01
11770,Synset('kilowatt_hour.n.01'),kilowatt_hour.n.01
11771,Synset('therm.n.01'),therm.n.01
11772,Synset('watt-hour.n.01'),watt-hour.n.01
11773,Synset('bore.n.03'),bore.n.03
11774,Synset('windage.n.02'),windage.n.02
11775,Synset('elongation.n.01'),elongation.n.01
11776,Synset('extension.n.09'),extension.n.09
11777,Synset('radius_of_curvature.n.01'),radius_of_curvature.n.01
11778,Synset('semidiameter.n.01'),semidiameter.n.01
11779,Synset('equivalent.n.02'),equivalent.n.02
11780,Synset('milliequivalent.n.01'),milliequivalent.n.01
11781,Synset('basal_body_temperature.n.01'),basal_body_temperature.n.01
11782,Synset('chill.n.01'),chill.n.01
11783,Synset('chilliness.n.01'),chilliness.n.01
11784,Synset('cool.n.01'),cool.n.01
11785,Synset('frostiness.n.01'),frostiness.n.01
11786,Synset('calefaction.n.01'),calefaction.n.01
11787,Synset('fieriness.n.01'),fieriness.n.01
11788,Synset('torridity.n.01'),torridity.n.01
11789,Synset('warmth.n.03'),warmth.n.03
11790,Synset('white_heat.n.01'),white_heat.n.01
11791,Synset('date.n.06'),date.n.06
11792,Synset('day.n.03'),day.n.03
11793,Synset('day_of_the_week.n.01'),day_of_the_week.n.01
11794,Synset('gregorian_calendar_month.n.01'),gregorian_calendar_month.n.01
11795,Synset('hindu_calendar_month.n.01'),hindu_calendar_month.n.01
11796,Synset('islamic_calendar_month.n.01'),islamic_calendar_month.n.01
11797,Synset('jewish_calendar_month.n.01'),jewish_calendar_month.n.01
11798,Synset('revolutionary_calendar_month.n.01'),revolutionary_calendar_month.n.01
11799,Synset('quattrocento.n.01'),quattrocento.n.01
11800,Synset('twentieth_century.n.01'),twentieth_century.n.01
11801,Synset('afternoon.n.01'),afternoon.n.01
11802,Synset('evening.n.01'),evening.n.01
11803,Synset('midafternoon.n.01'),midafternoon.n.01
