,Synset,Name,1
237,Synset('air.n.01'),air.n.01,air
238,Synset('ethylene.n.01'),ethylene.n.01,ethylene
239,Synset('hydrogen.n.01'),hydrogen.n.01,hydrogen
240,Synset('methane.n.01'),methane.n.01,methane
241,Synset('nitrogen.n.01'),nitrogen.n.01,nitrogen
242,Synset('noble_gas.n.01'),noble_gas.n.01,noble_gas
243,Synset('oxygen.n.01'),oxygen.n.01,oxygen
244,Synset('ozone.n.01'),ozone.n.01,ozone
245,Synset('tear_gas.n.01'),tear_gas.n.01,tear_gas
246,Synset('water.n.01'),water.n.01,water
247,Synset('cheese.n.01'),cheese.n.01,cheese
248,Synset('coconut.n.01'),coconut.n.01,coconut
249,Synset('yogurt.n.01'),yogurt.n.01,yogurt
250,Synset('actinium.n.01'),actinium.n.01,actinium
251,Synset('argon.n.01'),argon.n.01,argon
252,Synset('arsenic.n.02'),arsenic.n.02,arsenic
253,Synset('germanium.n.01'),germanium.n.01,germanium
254,Synset('krypton.n.01'),krypton.n.01,krypton
255,Synset('neon.n.01'),neon.n.01,neon
256,Synset('phosphorus.n.01'),phosphorus.n.01,phosphorus
257,Synset('plutonium.n.01'),plutonium.n.01,plutonium
258,Synset('rutherfordium.n.01'),rutherfordium.n.01,rutherfordium
259,Synset('selenium.n.01'),selenium.n.01,selenium
260,Synset('silicon.n.01'),silicon.n.01,silicon
261,Synset('sulfur.n.01'),sulfur.n.01,sulfur
262,Synset('tellurium.n.01'),tellurium.n.01,tellurium
263,Synset('xenon.n.01'),xenon.n.01,xenon
264,Synset('cytoplasm.n.01'),cytoplasm.n.01,cytoplasm
265,Synset('piperin.n.01'),piperin.n.01,piperin
266,Synset('yolk.n.02'),yolk.n.02,yolk
267,Synset('gasohol.n.01'),gasohol.n.01,gasohol
268,Synset('gasoline.n.01'),gasoline.n.01,gasoline
269,Synset('methanol.n.01'),methanol.n.01,methanol
270,Synset('moderator.n.01'),moderator.n.01,moderator
271,Synset('hill.n.01'),hill.n.01,hill
272,Synset('seashore.n.01'),seashore.n.01,seashore
273,Synset('hipline.n.02'),hipline.n.02,hipline
274,Synset('horizon.n.01'),horizon.n.01,horizon
275,Synset('part.n.10'),part.n.10,part
276,Synset('blind_spot.n.02'),blind_spot.n.02,blind_spot
277,Synset('navel.n.01'),navel.n.01,navel
278,Synset('county.n.01'),county.n.01,county
279,Synset('papua.n.01'),papua.n.01,Papua
280,Synset('sign_of_the_zodiac.n.01'),sign_of_the_zodiac.n.01,sign_of_the_zodiac
281,Synset('zodiac.n.01'),zodiac.n.01,zodiac
282,Synset('crenel.n.02'),crenel.n.02,crenel
283,Synset('audio.n.04'),audio.n.04,audio
284,Synset('crystal.n.02'),crystal.n.02,crystal
285,Synset('hardware.n.03'),hardware.n.03,hardware
286,Synset('module.n.04'),module.n.04,module
287,Synset('pixel.n.01'),pixel.n.01,pixel
288,Synset('spark_gap.n.01'),spark_gap.n.01,spark_gap
289,Synset('beam.n.02'),beam.n.02,beam
290,Synset('dado.n.02'),dado.n.02,dado
291,Synset('leaf.n.03'),leaf.n.03,leaf
292,Synset('osmosis.n.01'),osmosis.n.01,osmosis
293,Synset('insemination.n.02'),insemination.n.02,insemination
294,Synset('cleavage.n.03'),cleavage.n.03,cleavage
295,Synset('meiosis.n.01'),meiosis.n.01,meiosis
296,Synset('mitosis.n.01'),mitosis.n.01,mitosis
297,Synset('fixation.n.04'),fixation.n.04,fixation
298,Synset('sexual_reproduction.n.01'),sexual_reproduction.n.01,sexual_reproduction
299,Synset('abdomen.n.01'),abdomen.n.01,abdomen
300,Synset('ampulla.n.01'),ampulla.n.01,ampulla
301,Synset('back.n.01'),back.n.01,back
302,Synset('buttock.n.01'),buttock.n.01,buttock
303,Synset('cannon.n.05'),cannon.n.05,cannon
304,Synset('dock.n.06'),dock.n.06,dock
305,Synset('energid.n.01'),energid.n.01,energid
306,Synset('flank.n.04'),flank.n.04,flank
307,Synset('haunch.n.01'),haunch.n.01,haunch
308,Synset('hindquarters.n.02'),hindquarters.n.02,hindquarters
309,Synset('hip.n.01'),hip.n.01,hip
310,Synset('lobe.n.01'),lobe.n.01,lobe
311,Synset('loin.n.02'),loin.n.02,loin
312,Synset('loins.n.02'),loins.n.02,loins
313,Synset('mentum.n.03'),mentum.n.03,mentum
314,Synset('rectum.n.01'),rectum.n.01,rectum
315,Synset('shank.n.02'),shank.n.02,shank
316,Synset('shin.n.01'),shin.n.01,shin
317,Synset('shoulder.n.01'),shoulder.n.01,shoulder
318,Synset('stump.n.02'),stump.n.02,stump
319,Synset('thorax.n.01'),thorax.n.01,thorax
320,Synset('thorax.n.02'),thorax.n.02,thorax
321,Synset('thorax.n.03'),thorax.n.03,thorax
322,Synset('withers.n.01'),withers.n.01,withers
323,Synset('section.n.02'),section.n.02,section
324,Synset('alkyl.n.01'),alkyl.n.01,alkyl
325,Synset('saturation.n.04'),saturation.n.04,saturation
326,Synset('blackhead.n.01'),blackhead.n.01,blackhead
327,Synset('whitehead.n.02'),whitehead.n.02,whitehead
328,Synset('sector.n.01'),sector.n.01,sector
329,Synset('arc.n.02'),arc.n.02,arc
330,Synset('meander.n.01'),meander.n.01,meander
331,Synset('calyx.n.01'),calyx.n.01,calyx
332,Synset('corolla.n.01'),corolla.n.01,corolla
333,Synset('brake_drum.n.01'),brake_drum.n.01,brake_drum
334,Synset('shank.n.03'),shank.n.03,shank
335,Synset('shank.n.04'),shank.n.04,shank
336,Synset('shank.n.05'),shank.n.05,shank
337,Synset('umbo.n.01'),umbo.n.01,umbo
338,Synset('roller.n.04'),roller.n.04,roller
339,Synset('asphyxia.n.01'),asphyxia.n.01,asphyxia
340,Synset('street.n.03'),street.n.03,street
341,Synset('movement.n.05'),movement.n.05,movement
342,Synset('book.n.10'),book.n.10,book
343,Synset('canto.n.02'),canto.n.02,canto
344,Synset('chapter.n.01'),chapter.n.01,chapter
345,Synset('mezuzah.n.01'),mezuzah.n.01,mezuzah
346,Synset('passage.n.02'),passage.n.02,passage
347,Synset('sura.n.01'),sura.n.01,sura
348,Synset('beatitude.n.02'),beatitude.n.02,Beatitude
349,Synset('accounting.n.04'),accounting.n.04,accounting
350,Synset('blues.n.01'),blues.n.01,blues
351,Synset('opera.n.01'),opera.n.01,opera
352,Synset('sonata.n.01'),sonata.n.01,sonata
353,Synset('rock_'n'_roll.n.01'),rock_n_roll.n.01,rock_'n'_roll
354,Synset('shaft.n.01'),shaft.n.01,shaft
355,Synset('ovation.n.01'),ovation.n.01,ovation
356,Synset('visa.n.01'),visa.n.01,visa
357,Synset('cabala.n.01'),cabala.n.01,cabala
358,Synset('fine_print.n.01'),fine_print.n.01,fine_print
359,Synset('spot.n.11'),spot.n.11,spot
360,Synset('charter.n.01'),charter.n.01,charter
361,Synset('form.n.08'),form.n.08,form
362,Synset('poem.n.01'),poem.n.01,poem
363,Synset('addendum.n.01'),addendum.n.01,addendum
364,Synset('gospel.n.01'),gospel.n.01,Gospel
365,Synset('testament.n.04'),testament.n.04,Testament
366,Synset('spelling.n.01'),spelling.n.01,spelling
367,Synset('contents.n.01'),contents.n.01,contents
368,Synset('chorus.n.04'),chorus.n.04,chorus
369,Synset('diagonal.n.03'),diagonal.n.03,diagonal
370,Synset('rank.n.01'),rank.n.01,rank
371,Synset('hierarchy.n.01'),hierarchy.n.01,hierarchy
372,Synset('fungi.n.01'),fungi.n.01,Fungi
373,Synset('protozoa.n.01'),protozoa.n.01,Protozoa
374,Synset('metazoa.n.01'),metazoa.n.01,Metazoa
375,Synset('parazoa.n.01'),parazoa.n.01,Parazoa
376,Synset('elite.n.01'),elite.n.01,elite
377,Synset('curia.n.01'),curia.n.01,Curia
378,Synset('executive.n.02'),executive.n.02,executive
379,Synset('rome.n.02'),rome.n.02,Rome
380,Synset('areopagus.n.02'),areopagus.n.02,Areopagus
381,Synset('bench.n.05'),bench.n.05,Bench
382,Synset('house.n.04'),house.n.04,house
383,Synset('convent.n.02'),convent.n.02,convent
384,Synset('huddle.n.02'),huddle.n.02,huddle
385,Synset('conference.n.01'),conference.n.01,conference
386,Synset('council.n.03'),council.n.03,council
387,Synset('association_of_southeast_asian_nations.n.01'),association_of_southeast_asian_nations.n.01,Association_of_Southeast_Asian_Nations
388,Synset('veterans_of_foreign_wars.n.01'),veterans_of_foreign_wars.n.01,Veterans_of_Foreign_Wars
389,Synset('minstrel_show.n.01'),minstrel_show.n.01,minstrel_show
390,Synset('military_police.n.01'),military_police.n.01,military_police
391,Synset('patrol.n.03'),patrol.n.03,patrol
392,Synset('police.n.01'),police.n.01,police
393,Synset('staff.n.01'),staff.n.01,staff
394,Synset('academy.n.02'),academy.n.02,academy
395,Synset('section.n.10'),section.n.10,section
396,Synset('republican_party.n.01'),republican_party.n.01,Republican_Party
397,Synset('crew.n.01'),crew.n.01,crew
398,Synset('fifth_column.n.01'),fifth_column.n.01,fifth_column
399,Synset('intensive_care_unit.n.01'),intensive_care_unit.n.01,intensive_care_unit
400,Synset('gravitational_constant.n.01'),gravitational_constant.n.01,gravitational_constant
401,Synset('radian.n.01'),radian.n.01,radian
402,Synset('sextant.n.01'),sextant.n.01,sextant
403,Synset('steradian.n.01'),steradian.n.01,steradian
404,Synset('are.n.01'),are.n.01,are
405,Synset('hectare.n.01'),hectare.n.01,hectare
406,Synset('block.n.06'),block.n.06,block
407,Synset('byte.n.01'),byte.n.01,byte
408,Synset('exabit.n.01'),exabit.n.01,exabit
409,Synset('exabyte.n.01'),exabyte.n.01,exabyte
410,Synset('exabyte.n.02'),exabyte.n.02,exabyte
411,Synset('exbibit.n.01'),exbibit.n.01,exbibit
412,Synset('gibibit.n.01'),gibibit.n.01,gibibit
413,Synset('gigabit.n.01'),gigabit.n.01,gigabit
414,Synset('gigabyte.n.01'),gigabyte.n.01,gigabyte
415,Synset('gigabyte.n.02'),gigabyte.n.02,gigabyte
416,Synset('mebibit.n.01'),mebibit.n.01,mebibit
417,Synset('megabit.n.01'),megabit.n.01,megabit
418,Synset('megabyte.n.01'),megabyte.n.01,megabyte
419,Synset('megabyte.n.02'),megabyte.n.02,megabyte
420,Synset('pebibit.n.01'),pebibit.n.01,pebibit
421,Synset('petabit.n.01'),petabit.n.01,petabit
422,Synset('petabyte.n.01'),petabyte.n.01,petabyte
423,Synset('petabyte.n.02'),petabyte.n.02,petabyte
424,Synset('sector.n.04'),sector.n.04,sector
425,Synset('tebibit.n.01'),tebibit.n.01,tebibit
426,Synset('terabit.n.01'),terabit.n.01,terabit
427,Synset('terabyte.n.01'),terabyte.n.01,terabyte
428,Synset('terabyte.n.02'),terabyte.n.02,terabyte
429,Synset('word.n.07'),word.n.07,word
430,Synset('yobibit.n.01'),yobibit.n.01,yobibit
431,Synset('yottabit.n.01'),yottabit.n.01,yottabit
432,Synset('yottabyte.n.01'),yottabyte.n.01,yottabyte
433,Synset('yottabyte.n.02'),yottabyte.n.02,yottabyte
434,Synset('zebibit.n.01'),zebibit.n.01,zebibit
435,Synset('zettabit.n.01'),zettabit.n.01,zettabit
436,Synset('zettabyte.n.01'),zettabyte.n.01,zettabyte
437,Synset('zettabyte.n.02'),zettabyte.n.02,zettabyte
438,Synset('newton.n.02'),newton.n.02,newton
439,Synset('pound.n.10'),pound.n.10,pound
440,Synset('fathom.n.01'),fathom.n.01,fathom
441,Synset('foot.n.02'),foot.n.02,foot
442,Synset('league.n.03'),league.n.03,league
443,Synset('mesh.n.01'),mesh.n.01,mesh
444,Synset('mil.n.03'),mil.n.03,mil
445,Synset('mile.n.01'),mile.n.01,mile
446,Synset('point.n.17'),point.n.17,point
447,Synset('dollar.n.01'),dollar.n.01,dollar
448,Synset('franc.n.01'),franc.n.01,franc
449,Synset('advantage.n.02'),advantage.n.02,advantage
450,Synset('bar.n.07'),bar.n.07,bar
451,Synset('barye.n.01'),barye.n.01,barye
452,Synset('sone.n.01'),sone.n.01,sone
453,Synset('homer.n.03'),homer.n.03,homer
454,Synset('calorie.n.01'),calorie.n.01,Calorie
455,Synset('calorie.n.02'),calorie.n.02,calorie
456,Synset('erg.n.01'),erg.n.01,erg
457,Synset('joule.n.01'),joule.n.01,joule
458,Synset('evening.n.01'),evening.n.01,evening
459,Synset('historic_period.n.01'),historic_period.n.01,historic_period
460,Synset('incubation.n.02'),incubation.n.02,incubation
461,Synset('half-moon.n.02'),half-moon.n.02,half-moon
462,Synset('winter.n.01'),winter.n.01,winter
463,Synset('adulthood.n.01'),adulthood.n.01,adulthood
464,Synset('age.n.03'),age.n.03,age
465,Synset('rag.n.02'),rag.n.02,rag
466,Synset('tear.n.01'),tear.n.01,tear
467,Synset('breast.n.03'),breast.n.03,breast
468,Synset('drumstick.n.01'),drumstick.n.01,drumstick
469,Synset('oyster.n.03'),oyster.n.03,oyster
470,Synset('second_joint.n.01'),second_joint.n.01,second_joint
471,Synset('money.n.01'),money.n.01,money
472,Synset('beaufort_scale.n.01'),beaufort_scale.n.01,Beaufort_scale
473,Synset('folklore.n.01'),folklore.n.01,folklore
474,Synset('percept.n.01'),percept.n.01,percept
475,Synset('sign.n.06'),sign.n.06,sign
476,Synset('calendar.n.01'),calendar.n.01,calendar
477,Synset('music.n.03'),music.n.03,music
478,Synset('cesarean_delivery.n.01'),cesarean_delivery.n.01,cesarean_delivery
479,Synset('deal.n.08'),deal.n.08,deal
480,Synset('hemostasis.n.01'),hemostasis.n.01,hemostasis
481,Synset('electronic_warfare.n.01'),electronic_warfare.n.01,electronic_warfare
482,Synset('mutation.n.02'),mutation.n.02,mutation
483,Synset('ingress.n.01'),ingress.n.01,ingress
484,Synset('tide.n.01'),tide.n.01,tide
485,Synset('playoff.n.01'),playoff.n.01,playoff
486,Synset('tournament.n.02'),tournament.n.02,tournament
487,Synset('movie.n.01'),movie.n.01,movie
488,Synset('filename.n.01'),filename.n.01,filename
489,Synset('place_name.n.01'),place_name.n.01,place_name
490,Synset('pseudonym.n.01'),pseudonym.n.01,pseudonym
491,Synset('signature.n.01'),signature.n.01,signature
492,Synset('charade.n.02'),charade.n.02,charade
493,Synset('key_word.n.02'),key_word.n.02,key_word
494,Synset('raster.n.01'),raster.n.01,raster
495,Synset('parquet.n.02'),parquet.n.02,parquet
496,Synset('stock.n.01'),stock.n.01,stock
497,Synset('loan.n.01'),loan.n.01,loan
498,Synset('cannabis.n.02'),cannabis.n.02,cannabis
499,Synset('lysergic_acid_diethylamide.n.01'),lysergic_acid_diethylamide.n.01,lysergic_acid_diethylamide
500,Synset('opium.n.01'),opium.n.01,opium
501,Synset('tobacco.n.01'),tobacco.n.01,tobacco
502,Synset('drug_cocktail.n.01'),drug_cocktail.n.01,drug_cocktail
503,Synset('lipid-lowering_medicine.n.01'),lipid-lowering_medicine.n.01,lipid-lowering_medicine
504,Synset('opiate.n.01'),opiate.n.01,opiate
505,Synset('lawyer.n.01'),lawyer.n.01,lawyer
