,Synsets,Domain,nrhypos,nrdirhypers,nrpartrels,depthfromtopsynset,glosslength,minwordlength,nroflemmas,polyscore_max,ngrams_last_mean,nrpartrels_normalised,depthfromtopsynset_normalised,glosslength_normalised,vote
392,Synset('synthesizer.n.02'),music,0,2,0,9,170,11,2,2,-15.20267459,0.0,0.8929219600725952,2.151566599783917,b
393,Synset('tabor_pipe.n.01'),music,0,1,0,12,99,10,1,1,-22.35469017,0.0,1.190562613430127,1.2529711375212225,nb
394,Synset('tabor.n.01'),music,0,1,0,10,43,5,2,1,-16.73864315,0.0,0.9921355111917723,0.5442197870041673,nb
395,Synset('tambour.n.02'),music,0,1,0,10,6,7,1,2,-16.20675225,0.0,0.9921355111917723,0.0759376446982559,nb
396,Synset('tambourine.n.01'),music,0,1,0,10,74,10,1,1,-14.92221046,0.0,0.9921355111917723,0.9365642846118228,nb
397,Synset('tenor_drum.n.01'),music,0,1,0,10,37,7,2,1,-16.83529623,0.0,0.9921355111917723,0.4682821423059113,nb
398,Synset('tenoroon.n.01'),music,0,1,0,13,65,8,1,1,-22.99965765,0.0,1.2897761645493042,0.8226578175644389,nb
399,Synset('theremin.n.01'),music,0,1,0,9,171,8,1,1,-17.71645395,0.0,0.8929219600725952,2.164222873900293,b
400,Synset('timbrel.n.01'),music,0,1,0,10,79,7,1,1,-16.50817566,0.0,0.9921355111917723,0.9998456551937028,nb
401,Synset('triangle.n.05'),music,0,1,0,9,87,8,1,5,-11.59642432,0.0,0.8929219600725952,1.1010958481247106,b
402,Synset('trigon.n.03'),music,0,1,0,12,44,6,1,3,-18.34569728,0.0,1.190562613430127,0.5568760611205432,nb
403,Synset('trombone.n.01'),music,1,1,0,10,91,8,1,1,-14.86372484,0.0,0.9921355111917723,1.1517209445902146,b
404,Synset('uke.n.01'),music,0,1,0,10,34,3,2,1,-16.50628209,0.0,0.9921355111917723,0.4303133199567834,nb
405,Synset('upright.n.02'),music,1,1,0,10,38,7,2,5,-12.13939001,0.0,0.9921355111917723,0.4809384164222873,nb
406,Synset('viol.n.01'),music,3,1,0,10,77,4,1,1,-15.01349277,0.0,0.9921355111917723,0.9745331069609507,nb
407,Synset('violin.n.01'),music,3,1,2,10,179,6,2,8,-12.62594775,7.809523809523809,0.9921355111917723,2.265473066831301,b
408,Synset('virginal.n.01'),music,0,1,0,11,91,8,2,4,-15.07107143,0.0,1.0913490623109496,1.1517209445902146,nb
409,Synset('vox_angelica.n.01'),music,0,1,0,11,47,12,2,1,-21.06683587,0.0,1.0913490623109496,0.5948448834696712,nb
410,Synset('vox_humana.n.01'),music,0,1,0,12,63,10,1,1,-18.4228645,0.0,1.190562613430127,0.7973452693316869,nb
411,Synset('whistle.n.03'),music,0,1,0,9,74,7,1,11,-12.05697168,0.0,0.8929219600725952,0.9365642846118228,b
412,Synset('wind_instrument.n.01'),music,75,1,2,8,108,4,2,15,-10.28215722,7.809523809523809,0.793708408953418,1.3668776045686062,nb
413,Synset('woodwind.n.01'),music,26,1,2,9,52,4,3,8,-10.94616,7.809523809523809,0.8929219600725952,0.6581262540515511,nb
414,Synset('zither.n.01'),music,1,1,0,9,140,6,3,2,-14.70298644,0.0,0.8929219600725952,1.7718783762926378,b
415,Synset('baby_bed.n.01'),furn,4,1,0,8,74,8,2,1,-18.492119948947803,0.0,0.8268625393494228,1.3808847210381736,nb
416,Synset('bedroom_furniture.n.01'),furn,24,1,0,8,39,17,1,1,-17.00164787833055,0.0,0.8268625393494228,0.7277635691957942,nb
417,Synset('bedstead.n.01'),furn,0,1,5,8,22,8,2,1,-14.88413676496886,15.634920634920634,0.8268625393494228,0.4105332954437813,nb
418,Synset('bookcase.n.01'),furn,0,1,1,8,51,8,1,1,-13.917662139171926,3.126984126984127,0.8268625393494228,0.9516908212560388,b
419,Synset('buffet.n.01'),furn,2,1,3,8,86,6,3,13,-11.554201226356591,9.38095238095238,0.8268625393494228,1.604811973098418,b
420,Synset('cabinet.n.01'),furn,3,1,1,8,101,7,1,4,-11.405622372022696,3.126984126984127,0.8268625393494228,1.884721038173724,b
421,Synset('chest_of_drawers.n.01'),furn,3,1,2,8,42,5,4,5,-11.539280221490433,6.253968253968254,0.8268625393494228,0.7837453822108553,b
422,Synset('dining-room_furniture.n.01'),furn,1,1,0,8,43,21,1,1,-19.187838610946105,0.0,0.8268625393494228,0.802405986549209,nb
423,Synset('etagere.n.01'),furn,0,1,1,8,69,7,1,1,-18.047357916055503,3.126984126984127,0.8268625393494228,1.287581699346405,nb
424,Synset('hallstand.n.01'),furn,0,1,0,8,89,9,1,1,-18.68885853237584,0.0,0.8268625393494228,1.6607937861134792,nb
425,Synset('lamp.n.02'),furn,4,1,4,8,61,4,1,2,-11.114169137636242,12.507936507936508,0.8268625393494228,1.1382968646395757,b
426,Synset('lawn_furniture.n.01'),furn,0,1,0,8,51,14,1,1,-17.772276967576367,0.0,0.8268625393494228,0.9516908212560388,nb
427,Synset('nest.n.05'),furn,0,1,0,8,43,4,1,9,-11.332235851910568,0.0,0.8268625393494228,0.802405986549209,nb
428,Synset('office_furniture.n.01'),furn,4,1,0,8,39,16,1,1,-15.77474473044058,0.0,0.8268625393494228,0.7277635691957942,nb
429,Synset('sectional.n.01'),furn,0,1,0,8,86,9,1,4,-12.305544642848355,0.0,0.8268625393494228,1.604811973098418,nb
430,Synset('sheraton.n.01'),furn,0,1,0,8,122,8,1,1,-14.782624045930117,0.0,0.8268625393494228,2.2765937292791514,nb
431,Synset('sleeper.n.07'),furn,0,1,0,8,53,7,1,9,-13.4780529984061,0.0,0.8268625393494228,0.989012029932746,nb
432,Synset('table.n.02'),furn,50,1,3,8,100,5,1,8,-8.889433717192944,9.38095238095238,0.8268625393494228,1.86606043383537,b
433,Synset('table.n.03'),furn,6,1,0,8,61,5,1,8,-8.889433717192944,0.0,0.8268625393494228,1.1382968646395757,nb
434,Synset('wall_unit.n.01'),furn,1,1,0,8,80,9,1,1,-17.73709750013076,0.0,0.8268625393494228,1.4928483470682958,nb
435,Synset('wardrobe.n.01'),furn,3,1,0,8,116,5,3,23,-10.79143397678956,0.0,0.8268625393494228,2.164630103249029,b
436,Synset('washstand.n.01'),furn,0,1,0,8,126,9,2,2,-15.950020664916275,0.0,0.8268625393494228,2.351236146632566,nb
