,index,TotalCounts
827,climb,336.0
828,herself,116.0
829,sponge,46.0
830,soap,121.0
831,use,959.0
832,swimming,625.0
833,pool,304.0
834,toothbrush,41.0
835,boy's,202.0
836,pajamas,219.0
837,bed,2579.0
838,recorded,10.0
839,definitely,168.0
840,easiest,5.0
841,deal,32.0
842,talkative,6.0
843,working,309.0
844,early,253.0
845,stays,72.0
846,late,314.0
847,she'll,480.0
848,mornings,46.0
849,peak,2.0
850,notes,27.0
851,named,35.0
852,funnier,2.0
853,others,126.0
854,case,93.0
855,used,126.0
856,address,17.0
857,already,508.0
858,information,3.0
859,baby's,554.0
860,cradle,15.0
861,birth,13.0
862,fourteenth,11.0
863,seventh,6.0
864,ninety,100.0
865,brothers,67.0
866,sisters,56.0
867,gets,603.0
868,chats,4.0
869,even,853.0
870,wrong,1209.0
871,wants,1468.0
872,splitting,1.0
873,headache,54.0
874,tea,2435.0
875,head's,70.0
876,cup,1275.0
877,taller,79.0
878,jumper,326.0
879,today,2068.0
880,knew,181.0
881,you'd,761.0
882,tablet,10.0
883,thank_you,3643.0
884,yuck,205.0
885,tablets,33.0
886,ears,481.0
887,test,35.0
888,New_Year,1.0
889,February,61.0
890,yourself,802.0
891,cutters,25.0
892,deciding,6.0
893,worst,15.0
894,stairs,327.0
895,left,1004.0
896,lying,511.0
897,floor,1632.0
898,cutter,50.0
899,wardrobes,19.0
900,yet,1543.0
901,Monday,155.0
902,without,296.0
903,injection,58.0
904,interrupt,2.0
905,please,4625.0
906,sympathize,1.0
907,excuse,417.0
908,jeans,42.0
909,Doctor_Lastname,8.0
910,Doctor_Barbara,1.0
911,testing,17.0
912,knees,169.0
913,thermometer,10.0
914,checking,30.0
915,temperature,62.0
916,Doctor,2.0
917,glasses,252.0
918,studious,2.0
919,part,226.0
920,falls,72.0
921,Mum,1021.0
922,scissors,181.0
923,cutting,235.0
924,plasters,22.0
925,cut,1150.0
926,lip,30.0
927,Mum's,40.0
928,nanny's,32.0
929,split,11.0
930,climbing,233.0
931,Tuesday,136.0
932,shopping,1039.0
933,prescriptions,4.0
934,monsters,104.0
935,monster,392.0
936,crisps,239.0
937,lemonade,85.0
938,usually,239.0
939,pension,9.0
940,doctor,602.0
941,saw,825.0
942,table,1428.0
943,sugar,281.0
944,thank,1354.0
945,goodness,501.0
946,none,173.0
947,takes,194.0
948,staying,124.0
949,half,668.0
950,twelve,215.0
951,seems,113.0
952,ages,121.0
953,asking,122.0
954,hectic,6.0
955,wise,11.0
956,excitement,2.0
957,apart,282.0
958,cry,471.0
959,she'd,214.0
960,interest,21.0
961,us,1059.0
962,wrapped,44.0
963,nearly,931.0
964,hadta,471.0
965,doctor's,114.0
966,kit,34.0
967,everybody,470.0
968,chairs,184.0
969,brother,363.0
970,till,130.0
971,shop,973.0
972,sorts,85.0
973,lipstick,96.0
974,lips,51.0
975,red,3220.0
976,beautiful,314.0
977,Tilly,61.0
978,avoided,2.0
979,flu,15.0
980,crying,901.0
981,busy,369.0
982,horrible,396.0
983,sister,608.0
984,Linda_Tilly,1.0
985,shot,68.0
986,assessment,2.0
987,health,33.0
988,visitor,28.0
989,average,3.0
990,ah,2192.0
991,July,77.0
992,imaginary,6.0
993,hungry,783.0
994,might,2068.0
995,careful,1387.0
996,alright,3468.0
997,harm,27.0
998,boots,229.0
999,set,317.0
1000,nonsense,24.0
1001,behave,85.0
1002,Queen,8.0
1003,dropped,404.0
1004,joking,70.0
1005,stitches,13.0
1006,laugh,104.0
1007,Queen's,8.0
1008,Johnston,6.0
1009,Pauline,2.0
1010,finger,648.0
1011,muck,57.0
1012,cold,1186.0
1013,hat,1663.0
1014,scarf,120.0
1015,all_gone,738.0
