,Term,RawCounts
1001,hand,700
1002,forward,195
1003,slowly,241
1004,stole,23
1005,touched,89
1006,Monday,25
1007,touch,93
1008,became,142
1009,slightest,13
1010,caresses,1
1011,recoiled,5
1012,sullen,7
1013,heels,27
1014,boarded,4
1015,less,110
1016,old,922
1017,lumbering,2
1018,Berlin,20
1019,vehicle,6
1020,romance,3
1021,gliding,9
1022,night,496
1023,mysterious,34
1024,fog,3
1025,even,785
1026,strange,223
1027,raptures,1
1028,forgotten,105
1029,outside,239
1030,tonight,88
1031,Nothing,101
1032,muttered,91
1033,Father,53
1034,Mother,48
1035,knew,687
1036,those,348
1037,kids,33
1038,stairs,93
1039,Only,145
1040,helped,97
1041,prepare,10
1042,safely,26
1043,Will,124
1044,Liebchen,8
1045,Anything,15
1046,sighed,102
1047,church,91
1048,take,694
1049,Certainly,18
1050,corner,172
1051,duvet,4
1052,Would,98
1053,Cathedral,5
1054,window,342
1055,shopping,37
1056,Tappersdorf,3
1057,S-Bahn,13
1058,Sleep,2
1059,contented,10
1060,pleasant,29
1061,evening,182
1062,last,697
1063,flat,103
1064,settled,68
1065,slumber,2
1066,As,441
1067,owl,15
1068,hooted,5
1069,train,140
1070,slipping,26
1071,state,37
1072,world,333
1073,fades,1
1074,dreamworld,2
1075,begins,9
1076,subtle,8
1077,chapter,12
1078,13,24
1079,THE,98
1080,NEXT,3
1081,morning,315
1082,dress,66
1083,black,342
1084,colour,87
1085,considered,33
1086,suitable,20
1087,Divine,2
1088,Service,5
1089,soberly,4
1090,uncharacteristic,3
1091,act,46
1092,defiance,7
1093,pinned,21
1094,badge,20
1095,lapel,4
1096,approving,3
1097,church-going,1
1098,offered,47
1099,drive,90
1100,bright,141
1101,sunny,16
1102,offer,31
1103,declined,7
1104,Thank,111
1105,fresh,67
1106,since,208
1107,Across,18
1108,thoughtfully,34
1109,smoked,13
1110,ham,16
1111,twinge,1
1112,conscience,7
1113,occurred,20
1114,theatre,19
1115,summer,77
1116,Potsdam,1
1117,winter,68
1118,trapped,30
1119,passing,31
1120,lonely,69
1121,realised,44
1122,insisted,42
1123,station,67
1124,shaking,81
1125,handed,59
1126,carriage,22
1127,stops,21
1128,along,462
1129,line,208
1130,countrified,1
1131,rural,2
1132,quietness,1
1133,poplars,2
1134,masked,3
1135,factory,57
1136,behind,464
1137,pre-war,4
1138,houses,67
1139,steeply,7
1140,pitched,7
1141,roofs,8
1142,fields,71
1143,sprouts,5
1144,stretched,70
1145,oddly,12
1146,sentient,1
1147,frosty,8
1148,queues,6
1149,waiting,241
1150,picked,194
1151,Under,8
1152,power,115
1153,lines,95
1154,simple,60
1155,wooden,120
1156,structure,4
1157,sharp,77
1158,narrow,69
1159,steeple,6
1160,prodding,5
1161,sky,193
1162,remind,20
1163,God,282
1164,bell,49
1165,clanking,2
1166,additional,4
1167,reminder,3
1168,summons,2
1169,faithful,7
1170,number,199
1171,men,259
1172,women,91
1173,solemn,13
1174,Sunday,48
1175,best,263
1176,plenty,67
1177,surprisingly,13
1178,casual,11
1179,wearing,88
1180,jeans,16
1181,sweaters,2
1182,leather,60
1183,jackets,6
1184,cheerful,37
1185,attitude,10
1186,entered,49
1187,calling,56
1188,greetings,2
1189,good-natured,6
1190,jokes,37
1191,disapproval,5
1192,interior,7
1193,bare,58
1194,bleak,13
1195,uncompromising,3
1196,painted,41
1197,cross,73
1198,soul,40
1199,meet,159
1200,without,400
1201,mediation,1
1202,stained,15
1203,glass,217
1204,pictures,85
1205,images,13
1206,incense,2
1207,building,100
1208,speaking,59
1209,hearing,50
1210,distractions,1
1211,allowed,97
1212,welcome,55
1213,warm,137
1214,Elders,2
1215,congregation,8
1216,delighted,45
1217,new,419
1218,ushering,2
1219,seats,27
1220,sits,10
1221,far,385
1222,possible,118
1223,found,495
1224,Minister,13
1225,beamed,28
1226,upon,72
1227,surrounded,30
1228,family,199
1229,groups,26
1230,parents,129
1231,grandparents,2
1232,children,344
1233,agreeable,5
1234,small,558
1235,musicians,6
1236,struck,53
1237,bars,29
1238,hymn,9
1239,before,924
1240,curiosity,16
1241,prelude,2
1242,discussion,8
1243,Modern,2
1244,Superstitions,1
1245,service,24
1246,unfamiliar,9
1247,readings,2
1248,Bible,74
1249,magnificent,12
1250,prose,2
1251,Martin,19
1252,Luther,1
1253,prayers,17
1254,confession,3
1255,hymns,2
1256,sung,4
1257,unaffected,2
1258,fervour,5
1259,(,549
1260,critical,3
1261,flautist,1
1262,),725
1263,both,346
1264,liked,165
1265,singing,51
1266,remained,42
1267,silent,114
1268,knelt,25
1269,bowed,13
1270,such,320
1271,bring,127
1272,themselves,123
1273,believe,309
1274,existence,8
1275,extraordinary,38
1276,age,74
1277,grotesque,6
1278,non-scientific,1
1279,ideas,49
1280,resurrected,1
1281,dead,234
1282,horrible,44
1283,crucified,3
1284,fantastic,14
1285,rise,25
1286,graves,3
1287,countless,5
1288,millions,11
1289,rising,46
1290,clay,4
1291,dissolved,5
1292,peered,75
1293,sideways,42
1294,gnarled,6
1295,fingers,162
1296,pressed,55
1297,prayer,15
1298,Was,105
1299,praying,19
1300,resurrection,1
1301,asking,88
1302,invisible,34
1303,Maker,10
1304,Things,25
1305,hasten,1
1306,dearly,3
1307,loved,90
1308,united,3
1309,golden,78
1310,days,268
1311,surely,46
1312,remembered,159
1313,Watchword,3
1314,reading,91
1315,Karl,142
1316,read,295
1317,Let,123
1318,bury,7
1319,thou,6
1320,preach,3
1321,kingdom,9
1322,completely,69
1323,text,3
1324,clear,140
1325,dwell,4
1326,flash,30
1327,intuition,1
1328,State,21
1329,unmourned,2
1330,certainly,78
1331,forgetting,17
1332,evils,2
1333,Fascism,6
1334,moving,149
1335,preaching,8
1336,socialist,4
1337,gospel,1
1338,merely,32
1339,fairer,3
1340,juster,1
1341,Germany,16
1342,mixture,49
1343,admiration,18
1344,acumen,1
1345,affectionate,2
1346,pity,38
1347,upright,25
1348,sermon,3
1349,short,171
1350,Lutheran,1
1351,Church,23
1352,gathered,62
1353,Word,2
1354,expounded,2
1355,expected,74
1356,fully,28
1357,Pastor,8
1358,oblige,4
1359,comparing,3
1360,reference,5
1361,doings,1
1362,obscure,6
1363,Old,36
1364,Testament,3
1365,prophet,4
1366,original,22
1367,Hebrew,1
1368,learned,48
1369,half-hour,5
1370,explanation,14
1371,circumstances,12
1372,suffered,10
1373,prophesied,3
1374,struggled,45
1375,searched,24
1376,shadow,55
1377,huge,169
1378,empires,1
1379,perfectly,35
1380,willing,37
1381,apply,7
1382,message,70
1383,present,60
1384,present-day,2
1385,guilty,26
1386,excitement,57
1387,enjoying,24
1388,forbidden,6
1389,pleasure,44
1390,attentively,2
1391,may,219
1392,properly,66
1393,demand,7
1394,our,513
1395,obedience,3
1396,many,440
1397,matters,32
1398,obeying,5
1399,laws,15
1400,taxes,3
1401,supporting,6
1402,policies,2
1403,differ,4
1404,Micah,1
1405,differed,1
1406,priesthood,1
1407,rulers,4
1408,totalitarian,3
1409,exists,5
1410,belongs,21
1411,difference,71
1412,between,307
1413,almighty,7
1414,point,196
1415,given,189
1416,complete,63
1417,autonomy,1
1418,self-government,1
1419,government,5
1420,ourselves,37
1421,call,231
1422,freedom,23
1423,evil,39
1424,choice,46
1425,individual,11
1426,chooses,10
1427,follows,8
1428,punished,17
1429,deliberately,22
1430,chosen,36
1431,terrible,113
1432,gift,20
1433,precious,20
1434,individuals,2
1435,regardless,3
1436,claims,9
1437,denies,2
1438,shower,19
1439,gifts,18
1440,robbing,1
1441,deepest,1
1442,profoundest,1
1443,freedoms,1
1444,depend,9
1445,ultimate,4
1446,opposed,3
1447,paused,99
1448,flock,19
1449,convinced,20
1450,piercingly,2
1451,season,12
1452,Advent,2
1453,means,105
1454,Coming,15
1455,Lord,56
1456,Jesus,93
1457,Christ,27
1458,set,341
1459,above,214
1460,Him,12
1461,image,30
1462,calls,35
1463,Surely,24
1464,Child,14
1465,wryly,4
1466,unitary,2
1467,families,31
1468,attack,39
1469,certain,90
1470,quarters,10
1471,heart,189
1472,religion,10
1473,civilisation,1
1474,Why,505
1475,find,599
1476,trust,49
1477,confidence,34
1478,love,264
1479,Every,76
1480,attacked,18
1481,loving,22
1482,threat,18
1483,sets,49
1484,resisted,5
1485,gazed,63
1486,raftered,1
1487,happy,164
1488,live,221
1489,Amen,2
1490,final,30
1491,blessing,8
1492,amiably,3
1493,shuffled,17
1494,At,366
1495,Surrounded,1
1496,nonetheless,2
1497,eye,161
1498,apparent,5
1499,attempt,39
1500,facing,25
1501,Gnädige,1
1502,Gracious,2
1503,lady,139
1504,held,225
1505,gloved,3
1506,stately,4
1507,aristocratic,1
1508,Von,1
1509,Ritter,4
1510,announced,31
1511,My,342
1512,granddaughter,2
1513,resting,17
1514,von,7
1515,Biesdorf,3
1516,St,60
1517,Mark,24
1518,confess,7
1519,rueful,3
1520,edge,184
1521,Germans,14
1522,lightly,24
1523,view,67
1524,s,27
1525,teasing,17
1526,quality,12
1527,Somewhat,1
1528,self,25
1529,consciously,2
1530,denied,6
1531,atheist,2
1532,saying,236
1533,ashamed,18
1534,undisturbed,4
1535,An,86
1536,Quite,25
1537,grandmother,11
1538,Christian,42
1539,enjoy,58
1540,Actually,18
1541,enjoyed,48
1542,resonance,1
1543,language,34
1544,communal,3
1545,admit,49
1546,lacked,4
1547,thoughts,73
1548,leaned,105
1549,youth,25
1550,talk,259
1551,atheism,1
1552,treacherous,14
1553,invaded,6
1554,busy,91
1555,excuse,24
1556,One,265
1557,courteous,1
1558,goodbyes,2
1559,exchanged,16
1560,arm,295
1561,café,9
1562,reasonable,17
1563,sort,231
1564,place,566
1565,discreet,2
1566,lace,16
1567,curtains,53
1568,squeezed,29
1569,treat,29
1570,later,218
1571,forest,107
1572,plants,52
1573,gave,477
1574,Amazonian,1
1575,aspect,2
1576,seated,19
1577,ordering,7
1578,cakes,32
1579,contentedly,2
1580,fair,70
1581,smattering,1
1582,elderly,24
1583,ladies,44
1584,having,246
1585,feel,342
1586,broke,92
1587,cream,44
1588,arrived,133
1589,Dear,29
1590,every,410
1591,wore,64
1592,starched,3
1593,aprons,3
1594,uncomfortable,28
1595,approve,10
1596,today,139
1597,Creator,1
1598,deserves,7
1599,respect,28
1600,nodded,228
1601,demurred,2
1602,deny,10
1603,searchingly,1
1604,fine,147
1605,bones,41
1606,aristocrat,1
1607,dissented,1
1608,vehemently,2
1609,searching,33
1610,mirror,49
1611,Besides,51
1612,Junker,6
1613,deference,3
1614,awful,75
1615,Take,96
1616,Hindenburg,2
1617,President,11
1618,Reich,1
1619,Hitler,17
1620,waved,67
