,index,0
574,farming,251
575,we,18448
576,shall,1610
577,say,5245
578,later,3836
579,chapter,1098
580,Bevan,26
581,ranting,14
582,polemics,5
583,subject,1790
584,perhaps,2515
585,sound,1304
586,better,3076
587,mouth,1072
588,getting,1406
589,enough,3383
590,now,10426
591,examine,335
592,record,732
593,end,3987
594,April,584
595,post-war,160
596,programme,843
597,"686,018",1
598,permanent,412
599,To,2462
600,added,1218
601,"157,000",1
602,temporary,288
603,provision,1139
604,come,5657
605,war-damaged,2
606,huts,59
607,service,2044
608,camps,76
609,month,561
610,output,593
611,fifteen,428
612,thousand,701
613,Budget,74
614,speech,412
615,Chancellor,184
616,Exchequer,160
617,announced,465
618,three,4687
619,1950–2,2
620,decided,1327
621,completion,85
622,"200,000",25
623,happens,442
624,exactly,807
625,averaged,18
626,fact,3549
627,decision,896
628,but,30714
629,acceptance,225
630,things,3210
631,Output,8
632,Houses,63
633,today,1220
634,appreciably,11
635,larger,709
636,men,4831
637,work,6410
638,than,13658
639,immediately,911
640,though,4316
641,probably,2130
642,rather,4078
643,smaller,647
644,percentage,204
645,Yet,1006
646,last,4305
647,Even,1627
648,allowance,167
649,diversion,51
650,effort,583
651,house-building,22
652,possibility,636
653,size,1164
654,1947–9,1
655,slightly,831
656,above,2408
657,1934–8,1
658,contrast,566
659,remains,733
660,startling,92
661,If,6169
662,production,1232
663,regain,53
664,level,2143
665,1930s,212
666,sharing,172
667,eliminated,54
668,clearly,1327
669,accelerated,62
670,virtually,342
671,standstill,24
672,since,3734
673,only,13462
674,individual,1642
675,demolished,110
676,apart,743
677,area,2317
678,intended,691
679,showpiece,6
680,Festival,34
681,Although,1398
682,survey,417
683,extent,969
684,involuntary,26
685,evidence,1563
686,waiting,1227
687,lists,260
688,personal,1436
689,experience,1778
690,shows,736
691,touch,726
692,aspects,544
693,our,6678
694,national,1476
695,life,5075
696,:,17141
697,health,1152
698,threatened,321
699,insanitary,15
700,homes,475
701,education,2280
702,retarded,17
703,children,4190
704,room,3493
705,homework,43
706,arrive,282
707,tired,491
708,school,2906
709,sleeping,266
710,several,1969
711,others,2937
712,marriages,96
713,broken,782
714,strain,239
715,home,3835
716,making,2229
717,cramped,63
718,uncomfortable,164
719,quarters,186
720,Borstal,3
721,remand,10
722,approved,255
723,schools,1619
724,filled,642
725,products,677
726,unhappy,174
727,A,9924
728,place,4576
729,everybody,282
730,need,4396
731,Less,73
732,spent,1108
733,social,3883
734,services,1814
735,if,15432
736,drastically,40
737,improved,331
738,Nothing,600
739,short,1721
740,absolute,258
741,impossibility,40
742,ought,517
743,prevent,515
744,measures,442
745,will,13762
746,soon,1979
747,restore,103
748,pre-war,53
749,productivity,110
750,Alleged,1
751,Limiting,3
752,Factors,11
753,At,3903
754,different,4408
755,factors,799
756,alleged,126
757,limitation,57
758,capital,1422
759,investment,777
760,labour,1082
761,materials,724
762,especially,1580
763,timber,262
764,None,306
765,withstand,45
766,logical,211
767,examination,306
768,purports,13
769,plan,844
770,employment,734
771,available,1533
772,resources,1143
773,manpower,73
774,obtained,387
775,same,5856
776,here,5723
777,contended,11
778,happen,764
779,then,11729
780,allocation,214
781,far,4082
782,concerned,1515
783,unaffected,33
784,factor,554
785,Home-produced,1
786,bricks,105
787,refractories,1
788,adjust,95
789,themselves,2552
790,prospective,93
791,demand,1405
792,indicated,375
793,numbers,967
794,contracted,58
795,begun,461
796,Capital,80
797,equipment,553
798,except,1077
799,expanding,154
800,lines,940
801,like,12805
802,cement,43
803,employed,507
804,remain,853
805,constant,564
806,whether,2593
807,producing,324
808,full,2328
809,Generally,73
810,speaking,468
811,support,1895
812,expanded,194
813,without,4063
814,appreciable,27
815,increase,1179
816,commentary,46
817,few,4507
818,found,4985
819,report,1334
820,Party,671
821,Building,112
822,Industry,79
823,producers,165
824,…,8608
825,assessment,382
826,goods,1361
827,liable,140
828,upset,281
829,sudden,507
830,changes,1581
831,possibly,551
832,foresee,28
833,finally,875
834,imported,153
835,alone,1536
836,real,2163
837,price,1515
838,bought,716
839,higher,1389
840,amount,1001
841,reasons,908
842,buying,364
843,decisions,753
844,Both,606
845,once,3248
846,With,1599
847,nine,469
848,months,1530
849,notice,647
850,trade,1261
851,responsibility,935
852,procure,17
853,lower,1033
854,standard,611
855,paid,1326
856,can,16791
857,import,96
858,licensing,42
859,continues,207
860,requisite,33
861,permits,50
862,dollar,141
863,sources,502
864,Canada,250
865,necessary,1540
866,generally,1006
867,realised,495
868,tiny,551
869,current,762
870,bill,296
871,sufficient,542
872,buy,870
873,another,4985
874,"100,000",56
875,worth,845
876,Dollar,4
877,expenditure,1210
878,tobacco,76
879,ten,1440
880,Mass,106
881,All,2367
882,turns,272
883,upon,2866
884,restoring,30
885,How,2352
886,answer,1333
887,lies,538
888,comparison,334
889,worked,1153
890,works,761
891,Now,2188
892,nearly,920
893,contract,650
894,remainder,158
895,tenth,106
896,fifth,205
897,licence,123
898,order,2558
899,Before,617
900,preponderant,3
901,produced,1129
902,mass,668
903,ruling,154
904,fixed,662
905,market,2402
906,meet,1264
907,contracts,192
908,relief,534
909,character,643
910,admits,38
911,mass-production,15
912,itself,2292
913,alike,166
914,Under,437
915,obliged,218
916,keep,2273
917,labour-teams,1
918,steadily,182
919,moving,830
920,planned,479
921,succession,211
922,undertaking,92
923,progressively,64
924,brought,2227
925,ever-widening,4
926,circle,311
927,figures,652
928,Council,1005
929,reaped,8
930,benefit,644
931,set,3602
932,enterprise,244
933,geared,44
934,steady,359
935,predictable,134
936,thus,1134
937,eliminating,26
938,chief,579
939,impediments,13
940,reproduced,48
941,effects,766
942,follow,864
943,causes,323
944,Our,624
945,task,731
946,bring,1227
947,back,10489
948,element,497
949,enabling,107
950,dog,552
951,see,9207
952,rabbit,65
953,Two,934
954,main,2282
955,indispensable,54
956,complete,964
957,abolition,128
958,system,3319
959,drastic,71
960,alteration,46
961,principles,390
962,Country,113
963,1947,111
964,Licensing,5
965,volume,380
966,undertaken,215
967,firms,550
968,dependent,359
969,doling,2
970,out,19408
971,yearly,42
972,half-yearly,2
973,intervals,148
974,meagre,46
975,licences,42
976,gearing,18
977,impossible,725
978,mistake,394
979,suppose,988
980,mean,2354
981,excessive,153
982,soaring,30
983,cessation,12
984,start,1330
985,reasonably,284
986,sure,2164
987,completing,56
988,economically,104
989,unable,612
990,dispose,55
991,So,3546
992,sending,212
993,begin,645
994,make,6147
995,impression,473
996,pressure,810
997,"£2,000",21
998,apiece,15
999,council-type,1
1000,opinion,672
1001,objection,105
1002,retaining,85
1003,upper,484
1004,practice,1325
1005,desiring,10
