,Term,BNC_Baby_Counts
918,high,228
919,couple,143
920,Then,618
921,everyone,149
922,fiancé,7
923,reported,56
924,missing,95
925,person,168
926,believe,281
927,Giles,143
928,Hawick,45
929,Minister,80
930,Yes,669
931,Sorry,83
932,…,1408
933,My,344
934,uncle,49
935,used,404
936,employ,9
937,William,111
938,Coombes,5
939,quite,413
940,sounded,142
941,indignant,5
942,resentful,8
943,slowed,23
944,deliberately,59
945,Ah,76
946,heard,546
947,died,229
948,remembered,198
949,pouring,25
950,thick,110
951,well-manicured,1
952,hands,483
953,Both,67
954,aback,12
955,force,99
956,red,213
957,admitted,55
958,disappointed,29
959,either,219
960,hello,8
961,Since,46
962,flustered,7
963,Penelope,23
964,interest,188
965,intruder,11
966,overweight,3
967,probably,282
968,forties,13
969,carefully,148
970,dressed,119
971,uncertain,20
972,expecting,55
973,wife,272
974,Claudia,182
975,explaining,18
976,gone,455
977,making,260
978,fuss,18
979,momentarily,27
980,furiously,30
981,exasperated,10
982,seriously,55
983,tightly,41
984,gave,458
985,level,80
986,liking,17
987,Are,180
988,lunching,2
989,jerked,40
990,action,85
991,Of,277
992,Look,124
993,may,238
994,liked,231
995,discussion,28
996,slowly,214
997,flushed,24
998,mixture,35
999,disappointment,22
1000,excitement,72
1001,In,869
1002,increasingly,20
1003,irritably,22
1004,meal,63
1005,straightforward,23
1006,essentially,9
1007,impress,12
1008,succeeding,4
1009,sitting,237
1010,crossed,90
1011,fidgeting,4
1012,wore,107
1013,lot,378
1014,unnecessary,21
1015,detail,41
1016,unprecedented,2
1017,effect,76
1018,field,56
1019,legendary,4
1020,desirable,9
1021,conceded,14
1022,reddish-blond,1
1023,above,245
1024,perfect,48
1025,lightly,46
1026,freckled,5
1027,apple-green,1
1028,light,379
1029,wool,15
1030,spring,35
1031,Indeed,36
1032,beauty,42
1033,fine,98
1034,features,32
1035,gently,111
1036,curved,21
1037,slim,20
1038,figure,150
1039,smiling,121
1040,pulled,271
1041,realizing,9
1042,girl,481
1043,annoyed,40
1044,familiar,84
1045,reaction,37
1046,announced,47
1047,noted,33
1048,educated,9
1049,Met,11
1050,levels,10
1051,huge,145
1052,number,166
1053,O,29
1054,eighteen-year-old,2
1055,ready,160
1056,move,202
1057,passed,202
1058,exams,6
1059,rang,96
1060,picked,185
1061,interrupt,17
1062,Commander,10
1063,Stevenson,10
1064,wants,126
1065,Excuse,9
1066,carry,45
1067,conversation,120
1068,while,504
1069,finding,60
1070,photograph,49
1071,married,153
1072,fiancée,4
1073,oh,34
1074,reviewed,3
1075,explanation,37
1076,live,183
1077,added,213
1078,conscientiously,4
1079,earnestly,11
1080,Fancy,3
1081,Bit,9
1082,watch,172
1083,Twenty,23
1084,past,322
1085,eleven,30
1086,uncharacteristically,2
1087,gravelled,6
1088,entirely,73
1089,comradely,1
1090,amusement,19
1091,Come,182
1092,let's,58
1093,likely,98
1094,yet,414
1095,seated,24
1096,side,600
1097,agreed,140
1098,judgement,25
1099,Despite,22
1100,urgency,10
1101,summons,5
1102,kept,328
1103,outer,24
1104,read,231
1105,edition,10
1106,Evening,3
1107,Standard,11
1108,On,283
1109,page,42
1110,feared,35
1111,picture,154
1112,headline,14
1113,Singing,1
1114,Drugs,4
1115,Charge,1
1116,skimmed,4
1117,accompanying,8
1118,text,12
1119,already,364
1120,columns,7
1121,recital,1
1122,recording,6
1123,Panis,1
1124,Angelicus,1
1125,thirteen-year-old,1
1126,treble,2
1127,St,51
1128,Joe,221
1129,fact,315
1130,wildly,19
1131,successful,59
1132,Peregrine,2
1133,reflected,53
