,Term,BNC_Sampler_Counts
34965,burgling,2
34966,Burglar,1
34967,pixies,1
34968,elves,2
34969,Gnome,1
34970,Littleweeds,1
34971,Lassie,1
34972,TOO,1
34973,RISKY,1
34974,TOLD,2
34975,quilts,1
34976,lamppost,2
34977,armadillo,1
34978,armour,4
34979,armadillos,1
34980,Marry,1
34981,Scuse,3
34982,missus,5
34983,speeding,8
34984,FRONT,2
34985,DOOR,2
34986,Knock,55
34987,sabre-toothed,1
34988,ninja,2
34989,sparrows,2
34990,cunningly,2
34991,Yah,3
34992,Calm,1
34993,nutter,1
34994,Esther,4
34995,Poll,5
34996,Phyllis,46
34997,KNOCK,16
34998,Izzy,2
34999,IZZY,1
35000,ANYBODY,1
35001,Alectricity,1
35002,WHO,14
35003,IVAN,6
35004,Waddle,3
35005,Isabel,3
35006,gon,1343
35007,na,1654
35008,LIONEL,2
35009,Cynthia,13
35010,DORIS,3
35011,FREEZING,1
35012,Ewan,2
35013,Trish,3
35014,DAWN,4
35015,Twit,2
35016,dolf,1
35017,mouf,1
35018,fo,18
35019,fpeak,1
35020,IDEA,1
35021,GOING,1
35022,LET,2
35023,Sis,2
35024,SIS,1
35025,MILLIONTH,1
35026,Arfur,3
35027,fraid,1
35028,Juno,2
35029,LONELY,1
35030,Des,8
35031,hallway,9
35032,Shelby,2
35033,SHELBY,1
35034,COMING,1
35035,ROUND,2
35036,MOUNTAINS,1
35037,SHE,2
35038,COMES,1
35039,596,1
35040,semolina,1
35041,garnished,1
35042,donkey,8
35043,droppings,1
35044,trapdoor,1
35045,Sal,31
35046,Salong,1
35047,Tipperary,1
35048,Nettie,3
35049,Hank,2
35050,Dunap,2
35051,darling,114
35052,Nicker,1
35053,elastic,2
35054,Bit,36
35055,MESSAGE,3
35056,COMIC,2
35057,RELIEF,2
35058,Comic,4
35059,Relief,9
35060,AFRICA,1
35061,282,1
35062,long term,3
35063,Long Term,1
35064,healthworkers,1
35065,Worm,1
35066,Burkina,1
35067,Faso,1
35068,Mozambique,4
35069,Kenya,12
35070,carpenters,3
35071,1000,2
35072,Homelessness,1
35073,Alcohol,3
35074,Misuse,1
35075,Disability,2
35076,CA,1
35077,PROBLEMS,4
35078,WORLD,6
35079,BUT,1
35080,DAY,7
35081,GIVES,1
35082,ITS,5
35083,SUPPORTERS,1
35084,OPPORTUNITY,1
35085,REACH,1
35086,THEY,1
35087,NEED,3
35088,RADICALLY,1
35089,THEIR,2
35090,LIVES,1
35091,banked,4
35092,MICROMODULE,1
35093,ALPHA,2
35094,MULTICHIP,1
35095,MODULES,1
35096,SUBSTRATE,1
35097,Cupertino,1
35098,California-based,3
35099,MicroModule,2
35100,buyout,1
35101,Digital,8
35102,Equipment,10
35103,"1,993",1
35104,$1.2m,3
35105,subcontract,2
35106,DEC,7
35107,Alpha,13
35108,RISC-based,1
35109,multichip,3
35110,modules,4
35111,substrates,3
35112,manufacturable,1
35113,module,4
35114,next-generation,1
35115,high-power,2
35116,microprocessors,4
35117,furnaces,3
35118,high-density,1
35119,copper-polyimide,1
35120,interconnect,3
35121,RISC,3
35122,three-dimensional,10
35123,RAM,2
35124,substrate,3
35125,excessively,6
35126,silicon,5
35127,IPL,2
35128,CHALLENGES,1
35129,IBM,35
35130,9337-COMPATIBLE,1
35131,7737,3
35132,DISK,1
35133,ARRAY,1
35134,Waltham,2
35135,9337-compatible,1
35136,disk,31
35137,subsystem,3
35138,AS/400,4
35139,Disk,1
35140,Array,1
35141,implementations,2
35142,9337,1
35143,emulate,7
35144,configured,2
35145,compatibility,2
35146,010,1
35147,020,1
35148,110,3
35149,configuration,11
35150,hardware,57
35151,"$42,000",1
35152,INTEL,1
35153,SEEKS,1
35154,BAR,2
35155,TWINHEAD,1
35156,IMPORTS,1
35157,PATENT,1
35158,Intel,4
35159,infringed,1
35160,Twinhead,1
35161,Slimnote,1
35162,Cx486,1
35163,Am386,1
35164,CPU,2
35165,memory-management,1
35166,iAPX-86,1
35167,paging,1
35168,software,96
35169,Unix,17
35170,APPLE,1
35171,EXPLORES,1
35172,JEDI,1
35173,OBJECT,2
35174,TECHNOLOGY,3
35175,SYSTEM,6
35176,Computer,129
35177,object-oriented,4
35178,Taligent,9
35179,PC,5
35180,object-based,1
35181,Jedi,3
35182,application-linking,1
35183,Microsoft,20
35184,Object,4
35185,Linking,1
35186,Embedding,1
35187,AppleEvents,1
35188,application-messaging,1
35189,AppleScript,1
35190,inherently,2
35191,Espinosa,1
35192,Developer,1
35193,downplaying,1
35194,32-bit,6
35195,scratch,12
35196,full-blown,2
35197,mid-1995,1
35198,Guarino,1
35199,PC-XWARE,1
35200,FULL,1
35201,X,145
35202,EMULATION,1
35203,WINDOWS,2
35204,Computing,6
35205,Devices,1
35206,X-terminal,2
35207,Window,3
35208,emulation,5
35209,PC-Xware,2
35210,functionality,10
35211,integrating,2
35212,vendors,9
35213,NCDware,1
35214,3.0,2
35215,PX-Xware,1
35216,server,54
35217,protocols,1
35218,$545,1
35219,configure,2
35220,remotely,6
35221,80486-,1
35222,Pentium-based,1
35223,NT,12
35224,Motif-like,1
35225,NCDwm,1
35226,processor,6
35227,bandwidth,2
35228,VT320,1
35229,character-based,1
35230,TCP/IP,3
35231,NetManage,2
35232,XRemote,1
35233,high-speed,4
35234,Chameleon,1
35235,$735,1
35236,ChameleonNFS,1
35237,$800,1
35238,UNITS,1
35239,CHAPTER,1
35240,CLS,3
35241,Software,9
35242,Acquisition,6
35243,Chapter,43
35244,100%,10
35245,securities,43
35246,liabilities,22
35247,$2.6m,1
35248,$5.7m,1
35249,Computerized,1
35250,Lodging,1
35251,82.3%,1
35252,ARCHITECTURE,1
35253,SAVE,1
35254,MAINFRAME,1
35255,Hesh,1
35256,Wiener,1
35257,database,99
35258,co-processor,2
35259,offload,1
35260,CICS,5
35261,Pundits,1
35262,mainframe,22
35263,gosling,1
35264,draughty,1
35265,programs,88
35266,DB2,5
35267,IMS,26
35268,SQL,2
35269,capability,12
35270,9121s,1
35271,at best,3
35272,ES/9000,1
35273,9221,1
35274,Ultimately,6
35275,processor(s),1
35276,outboard,1
35277,general-purpose,1
35278,DBMS,1
35279,microcode,1
35280,untested,1
35281,imprudent,2
35282,Infoperspectives,1
35283,Technology,10
35284,SYSTEMS,1
35285,MANAGEMENT,3
35286,NEWCOMER,1
35287,OPENVISION,1
35288,FIGURE,24
35289,COMMON,2
35290,SOFTWARE,1
35291,ENVIRONMENT,4
35292,OpenVision,5
35293,nine-month-old,1
35294,Pleasanton,1
35295,$25m,1
35296,$12m,1
35297,"2,158",1
35298,V*OPSS,1
35299,Laboratories,2
35300,Roel,2
35301,Pieper,1
35302,COSE,2
35303,anschluss,1
35304,technologies,7
35305,Hewlett-Packard,3
35306,reseller,3
35307,Microsystems,4
35308,on-going,3
35309,Tivoli,3
35310,Labs,1
35311,X/Open,1
35312,Informix,1
35313,SHL,1
35314,Systemhouse,1
35315,geographically,9
35316,heterogeneous,4
35317,integrates,1
35318,disparate,5
35319,event-driven,1
35320,user-defined,1
35321,fixed-price,1
35322,no-shelfware,1
35323,PASS,1
35324,TEABAG,1
35325,PENTIUM,1
35326,Unigram.X,1
35327,Pentium,1
35328,Compaq,1
35329,NCR,6
35330,NEC,19
35331,Pentiums,1
35332,tea-bagging,1
35333,SPARCSYSTEM,1
35334,VIDEO,2
35335,CONFERENCING,1
35336,single-user,1
35337,stand-alone,5
35338,conferencing,1
35339,program,112
35340,Sparc,1
35341,Parallax,1
35342,XVideo-24SVC,1
35343,SBus,1
35344,NIS,1
35345,Domain,1
35346,one-time,2
35347,"$25,000",1
35348,640,2
35349,480,1
35350,pixel,4
35351,rectangular,8
35352,Users,11
35353,Video,10
35354,WORDPERFECT,1
35355,OUTLINES,1
35356,WORKGROUP,1
35357,MARKET,4
35358,SHUNNING,1
35359,GLOBAL,2
35360,GROUPWARE-ENABLING,1
35361,Wordperfect,9
35362,workgroup,2
35363,shied,1
35364,applets,1
35365,2146,1
35366,groupware-enabling,1
35367,misguided,4
35368,messaging,1
35369,scheduling,4
35370,workflow,1
35371,Sumner,2
35372,applet,1
35373,monolithic,1
35374,InForms,2
35375,electronically,2
35376,distributing,5
35377,fill-in,2
35378,Novell,2
35379,NetWare,3
35380,Loadable,1
35381,Module,1
35382,4.0,1
35383,servers,16
35384,primping,1
35385,certified,9
35386,value-added,3
35387,resellers,6
35388,integrators,1
35389,a la,2
35390,estimation,1
35391,GRESHAM,1
35392,TELECOMPUTING,1
35393,TARGETS,1
35394,TRANSACTION,1
35395,USERS,1
35396,DOWNSIZE,1
35397,ICL,4
35398,MAINFRAMES,1
35399,Warsash,1
35400,Southampton-based,1
35401,Gresham,2
35402,Telecomputing,1
35403,Plc,19
35404,client-server,1
35405,interface,20
35406,TPS,3
35407,transaction,38
35408,VME,2
35409,downsize,1
35410,non-TPS,1
35411,Multi,1
35412,Access,23
35413,TP,1
35414,VMS,2
35415,DataServe,1
35416,DX,1
35417,130/10,1
35418,"£2,800",1
35419,"£2,100",1
35420,276,1
35421,O2,6
35422,PUT,1
35423,DATABASE,1
35424,FRANCE,3
35425,Versailles-based,1
35426,AXP,1
35427,workstations,12
35428,OSF/1,1
35429,64-bit,1
35430,Bancilhon,2
35431,geographic,4
35432,Nixdorf,2
35433,Informationssysteme,1
35434,AG,3
35435,remarketed,1
35436,Silicon,5
35437,Graphics,6
35438,MICRO,1
35439,EXPLAINS,1
35440,AGREEMENT,1
35441,BRING,1
35442,MVS,7
35443,PL/I,14
35444,PROGRAMMING,1
35445,OS/2,7
35446,Programming,2
35447,"2,166",1
35448,Berkshire-based,1
35449,Micro,7
35450,Focus,7
35451,compiler,3
35452,debugging,1
35453,ADMVS,6
35454,Teresa,15
35455,Laboratory,4
35456,TSO/ISPF,1
35457,browse,8
35458,edit,3
35459,compile,5
35460,interactively,4
35461,streams,7
35462,JCL,2
35463,EBCDIC,1
35464,370,1
35465,integers,7
35466,ISPF,3
35467,editing,5
35468,Dialog,1
35469,invoke,5
35470,pre-processors,1
35471,accessed,2
35472,diagnostic,2
35473,subroutines,1
35474,simplifying,3
35475,programming,20
35476,interrupts,2
35477,non-stop,2
35478,Package/2,1
35479,Version,5
35480,LATEST,1
35481,UNIX,1
35482,WORKSTATIONS,1
35483,Superstation,1
35484,4800,2
35485,SuperServer,1
35486,UP4800,1
35487,V.4.2,2
35488,competitively,4
35489,Microsystem,1
35490,Powerstation,1
35491,differentiate,4
35492,48-Lite,1
35493,desktop,23
35494,MIPS,4
35495,27SPECint92,1
35496,EWS4800/110LT,1
35497,"1,024",2
35498,768,2
35499,diode,2
35500,"$12,272",1
35501,similarly-rated,1
35502,EWS4800/310,1
35503,workstation,9
35504,diskless,1
35505,"$5,272",1
35506,"$6,618",1
35507,Trad,3
35508,4800/320,1
35509,cost-performance,1
35510,42SPECint92,1
35511,4800/330,1
35512,multimedia,14
35513,60SPECint92,1
35514,4800/360,1
35515,Server,30
35516,UP4800/605,1
35517,/615,1
35518,"$14,425",1
35519,32Mb,1
35520,1Gb,1
35521,UP4800/625,1
35522,mid-size,1
35523,on-line,1
35524,high-end,1
35525,UP4800/635,1
35526,67MHz,1
35527,R4400,1
35528,expandable,1
35529,Modular,1
35530,SPECint92,1
35531,modular,2
35532,Encina,1
35533,de-facto,1
35534,"14,200",1
35535,EWS4800,1
35536,Securities,2
35537,1991-92,1
35538,Ideo,1
35539,presages,1
35540,OEM,2
35541,Compagnie,3
35542,Stratus,1
35543,fault-tolerant,1
35544,FUJITSU,1
35545,SHOWS,2
35546,TECHNOLOGIES,1
35547,DEVELOPED,2
35548,Fujtisu,2
35549,Singapore,13
35550,Fujitsu,6
35551,IT2000,1
35552,computing,34
35553,B-ISDN,3
35554,databases,13
35555,transmission,9
35556,X-ray,6
35557,Tomography,1
35558,Scanner,1
35559,Synchronous,1
35560,Hierarchy,1
35561,optical,41
35562,Fibre,1
35563,Subscriber,1
35564,Loop,2
35565,digital,5
35566,Poquet,1
35567,Pad,3
35568,FM-Towns,1
35569,SEQUELINK,1
35570,GNOSIS,1
35571,Gnosis,3
35572,NV,2
35573,Sequelink,3
35574,HITACHI,1
35575,PROTOTYPE,1
35576,WORKSTATION-BASED,1
35577,AUTOMATIC,1
35578,RETRIEVAL,1
35579,PICTURES,1
35580,Multimedia,16
35581,Hitachi,5
35582,retrieval,34
35583,reading-in,1
35584,Contents,3
35585,detection,20
35586,laser,55
35587,Interchi,1
35588,Interfaces,1
35589,BATTERED,1
35590,RECESSION,1
35591,PENSION,1
35592,FUND,1
35593,SHORTFALL,1
35594,REGULATION,1
35595,RIVALS,1
35596,TELECOM,1
35597,DIPS,1
35598,Telecommunications,2
35599,"£1,970m",2
35600,"£2,500m",1
35601,"39,800",1
35602,"170,700",1
35603,"31,700",1
35604,"5,400",1
35605,rectified,3
35606,"£1,034m",1
35607,incremental,2
35608,leavers,18
35609,Vallance,8
35610,8.1%,1
35611,actuarial,12
35612,"£13,440m",1
35613,95%,4
35614,109%,1
35615,£132m,1
35616,focussing,2
35617,£56m,1
35618,repurchasing,1
35619,40.4%,2
35620,11.4%,1
35621,mechanistic,2
35622,8.3%,4
35623,15.6,1
35624,BT3,1
35625,"£13,242m",1
35626,1.3%,1
35627,0.8%,1
35628,Romeril,1
35629,"£2,450m",1
35630,"£3,400m",1
35631,telecommunication,3
35632,7.1%,1
35633,outgoing,5
35634,"£1,859m",1
35635,incoming,6
35636,"£5,095m",1
35637,negligible,6
35638,rentals,6
35639,5.5%,2
35640,"£2,233m",1
35641,re-balancing,1
35642,1.8%,2
35643,Revenues,1
35644,5.7%,1
35645,£996m,1
35646,de-pressed,1
35647,2.9,5
35648,DESKTOP,1
35649,VINDICATES,1
35650,PACHE,1
35651,Desktop,2
35652,Pache,2
35653,multi-annual,2
35654,VENTURE,1
35655,FUNDING,1
35656,Oberon,2
35657,SynchroWorks,2
35658,$4m,3
35659,Toyo,1
35660,Osaka-based,1
35661,beta,2
35662,Sparcstations,1
35663,ease-of-use,1
35664,SHARE,1
35665,BOND,1
35666,Auspex,1
35667,File,6
35668,2.66m,1
35669,$12,1
35670,$30m,1
35671,Lead,1
35672,underwriters,1
35673,Hambrecht,1
35674,Quist,1
35675,Dallas,1
35676,redeem,3
35677,3.7m,1
35678,11.1m,1
35679,$2.26,1
35680,depositary,2
35681,0.6452116,1
35682,34.5278,1
35683,accrued,5
35684,$115m,1
35685,dollar-denominated,1
35686,$50m,2
35687,4.85%,2
35688,maturing,4
35689,$28m,2
35690,AB,2
35691,$37m,2
35692,AF,1
35693,redeemed,3
35694,110.50%,1
35695,Nokia,1
35696,Oy,4
35697,$100m,1
35698,RESULTS,5
35699,Electronics,1
35700,94%,2
35701,$18m,1
35702,45.6%,1
35703,$551.4m,1
35704,44.7%,1
35705,$0.55,1
35706,Autotrol,1
35707,35.6%,1
35708,"$626,315",1
35709,4.2%,2
35710,$8.4m,1
35711,$0.21,1
35712,Comparisons,2
35713,Cadmus,1
35714,Communications,4
35715,12.6%,1
35716,6.7%,1
35717,$50.1m,1
35718,15.4%,2
35719,$3.2m,3
35720,5.6%,1
35721,$146.4m,1
35722,11.1%,1
35723,$0.20,1
35724,15.2%,1
35725,$0.53,1
35726,Amplifier,2
35727,"$840,000",1
35728,50.2%,1
35729,$10.4m,1
35730,92.9%,2
35731,$3.1m,1
35732,73.4%,2
35733,$35.8m,1
35734,33.3%,5
35735,$0.16,1
35736,93.5%,1
35737,$0.60,1
35738,Centigram,1
35739,143.2%,1
35740,$1.1m,1
35741,34.4%,1
35742,$14.4m,1
35743,mid-term,4
35744,332.5%,1
35745,$2.1m,2
35746,$27.4m,1
35747,$0.22,1
35748,320%,1
35749,$0.42,1
35750,Cisco,1
35751,99.3%,1
35752,$46.3m,1
35753,88.6%,1
35754,$172.4m,1
35755,106.9%,1
35756,$118.2m,1
35757,93.9%,1
35758,$443.8m,1
35759,two-for-one,1
35760,$0.36,1
35761,104.4%,1
35762,$0.92,1
35763,CMS,1
35764,Enhancements,1
35765,"$83,000",1
35766,45.4%,2
35767,$15.7m,1
35768,"$195,000",1
35769,$7.6m,1
35770,$4.5m,1
35771,37.2%,1
35772,$55.2m,1
35773,$0.03,1
35774,$0.07,1
35775,Cognex,1
35776,13.8%,1
35777,$8.8m,1
35778,$0.24,1
35779,Cognitronics,1
35780,"$379,000",1
35781,"$602,000",1
35782,"$471,000",1
35783,cumulative,16
35784,"$283,000",1
35785,"$45,000",2
35786,19.8%,1
35787,$5.1m,1
35788,Filenet,1
35789,88.2%,1
35790,"$237,000",1
35791,0.02%,1
35792,$34.7m,1
35793,88.9%,1
35794,$0.02,1
35795,Intera,1
35796,"$828,000",1
35797,$1.5m,2
35798,$1m,1
35799,12.9%,1
35800,$19.1m,1
35801,$3.9m,1
35802,7.7%,2
35803,$37.5m,1
35804,$0.15,1
35805,$0.27,1
35806,Landmark,1
35807,$1.9m,1
35808,$3.4m,1
35809,$23.6m,1
35810,40.8%,1
35811,$2.7m,1
35812,6.8%,1
35813,$61.7m,1
35814,$0.18,1
35815,44.4%,1
35816,$0.26,1
35817,Microcom,1
35818,$3.6m,1
35819,litigation,4
35820,"$999,000",1
35821,16.6%,1
35822,$16m,1
35823,$10.7m,1
35824,$4.3m,1
35825,$69.4m,1
35826,$15.5m,1
35827,$17m,1
35828,Adaptive,1
35829,$1.4m,1
35830,8.9%,1
35831,$57.3m,1
35832,$11.1m,1
35833,$11.2m,1
35834,21.0%,1
35835,$218.8m,1
35836,Varian,1
35837,19.2%,1
35838,$9.3m,1
35839,3.3%,1
35840,$325.3m,1
35841,3.2%,2
35842,$15.9m,1
35843,0.4%,2
35844,$616.6m,1
35845,24.4%,1
35846,$0.51,1
35847,7.5%,2
35848,$0.86,1
35849,40.2%,1
35850,"£1,220m",1
35851,"£1,030m",1
35852,"£13,240m",1
35853,35.8%,1
35854,19.8p,1
35855,MINIGRAMS,1
35856,exercisable,7
35857,dauntingly,1
35858,mid-to-senior,1
35859,Gerstner,1
35860,$89,1
35861,$169,1
35862,$47.88,2
35863,$71.82,1
35864,DECpc,1
35865,MTE,1
35866,80486-based,1
35867,"$2,650",1
35868,"$3,100",1
35869,EISA,1
35870,VESA,1
35871,VL,1
35872,highest-performance,1
35873,80486,1
35874,Pentium-upgradable,1
35875,PCMCIA,3
35876,partnerships,6
35877,receivership,1
35878,Hauppauge,1
35879,York-based,1
35880,Token-Ring,1
35881,adaptors,4
35882,$600,1
35883,semiconductor,2
35884,Ottawa-based,1
35885,Bell-Northern,1
35886,majority-owned,1
35887,$80m,1
35888,square-foot,1
35889,Xerox,4
35890,Palo,1
35891,Alto,3
35892,Center,4
35893,flat-screen,1
35894,matrix,11
35895,laser-printed,1
35896,black-and-white,1
35897,automation,8
35898,Ayr,3
35899,conforms,3
35900,Galway,2
35901,1993-94,1
35902,1.37m,1
35903,Telefonica,2
35904,Espana,1
35905,ordering,6
35906,holdings,12
35907,43.6%,1
35908,Compania,1
35909,Telefonos,1
35910,Entel,1
35911,AxS,2
35912,MetroComm,2
35913,optic,1
35914,Columbus,2
35915,Ohio,1
35916,Cray,4
35917,Cray-3,2
35918,Cray-4,2
35919,Munich-based,1
35920,Tekelec,3
35921,Airtronic,1
35922,GmbH,1
35923,resell,1
35924,MultiNet,1
35925,VAX/VMS,1
35926,MultiWare,1
35927,OpenVMS,1
35928,$40m,1
35929,Chappell,1
35930,tumour,2
35931,AT&T,2
35932,Picasso,1
35933,Image,4
35934,Phone,5
35935,television-quality,1
35936,"$3,300",1
35937,Picassos,1
35938,DC-based,1
35939,Eastman,1
35940,Photo,2
35941,CD,17
35942,Orem,1
35943,Utah-based,2
35944,WordPerfect,24
35945,6.0,2
35946,MS-DOS,3
35947,drag-and-drop,1
35948,scrolling,1
35949,Button,8
35950,Bars,3
35951,set-up,6
35952,graphics,7
35953,$500,1
35954,Sprint,3
35955,standardise,1
35956,multimillion,1
35957,Macintosh,6
35958,Storage,12
35959,Tandem,1
35960,NonStop,1
35961,Cyclone,1
35962,CLX,1
35963,Fremont,2
35964,wholly-owned,1
35965,accelerator,4
35966,Spea,2
35967,Glenwood,2
35968,Paricard,1
35969,SIT,2
35970,Iomega,1
35971,Tape250,1
35972,minicartridge,2
35973,Memorex,3
35974,back-up,3
35975,Telex,3
35976,Supplies,3
35977,pre-formatted,1
35978,MRX2120,1
35979,Backup,1
35980,screwdriver,3
35981,$320,1
35982,Texas-based,1
35983,speech-aware,1
35984,Publishing,10
35985,CD-ROM,11
35986,Connecticut-based,1
35987,Signal,3
35988,Integrated,1
35989,Solutions,1
35990,microlithography,1
35991,Livermore,1
35992,atoms,9
35993,microelectronic,1
35994,$2.5m,1
35995,funded,29
35996,co-operative,2
35997,custom-configured,1
35998,AMR,1
35999,"115,000",1
36000,pre-installed,1
36001,peripherals,1
36002,Sabre,1
36003,Nippon,2
36004,Telegraph,8
36005,NTT,1
36006,subsidiaries,5
36007,Daini,1
36008,Denden,1
36009,Tokai,1
36010,Cirrus,1
36011,lawsuits,1
36012,violated,2
36013,hesitates,2
36014,publicising,3
36015,imitations,1
36016,telescopes,1
36017,tapping,9
36018,scavenging,3
36019,defrauding,1
36020,Connecticut,1
36021,sabotaged,1
36022,mall,1
36023,debriefed,1
36024,Danvers,2
36025,Massachusetts-based,1
36026,PictureTel,1
36027,M-8000,2
36028,H.320,2
36029,Multipoint,1
36030,M-8600,2
36031,videoconferencing,1
36032,standards-compliant,1
36033,Uchida,2
36034,Yoko,1
36035,supplementary,8
36036,"$1,800m",1
36037,FM,8
36038,Towns,3
36039,Bagshot,1
36040,Surrey-based,1
36041,OutSource,2
36042,Transputer-based,1
36043,massively,4
36044,ChannelSource,1
36045,medium sized,1
36046,spermatozoa,1
36047,Woody,2
36048,impersonation,1
36049,Sex,4
36050,Pennsylvania,2
36051,fantasies,2
36052,tadpoles,2
36053,fittest,2
36054,Prodigy,1
36055,analyzing,3
36056,sperm,8
36057,fertilisation,5
36058,microscopic,3
36059,wafer,2
36060,fertilise,1
36061,etched,3
36062,twisting,11
36063,FIVE,2
36064,YEARS,2
36065,AGO,1
36066,Computergram,1
36067,928,1
36068,Samna,1
36069,Z-Soft,1
36070,68030,1
36071,Amiga,2
36072,Hoskyns,1
36073,Insight,1
36074,BENNETT,1
36075,Denvir,3
36076,juxtaposition,2
36077,self-explanatory,1
36078,Untrained,1
36079,commencing,11
36080,homosexual,2
36081,addicted,2
36082,sleazier,1
36083,Soho,2
36084,seedy,1
36085,studio,11
36086,imagery,8
36087,exhilarated,2
36088,Munch,1
36089,memorably,1
36090,Bertolucci,1
36091,Tango,2
36092,Pasolini,1
36093,Teorema,1
36094,painters,11
36095,Frith,1
36096,Barriers,1
36097,devotees,1
36098,tens,19
36099,Visually,3
36100,repellent,3
36101,as opposed to,34
36102,professing,1
36103,exemplifies,1
36104,enigmas,1
36105,dramatist,2
36106,Mantegna,1
36107,Agony,1
36108,Dramatist,1
36109,Blunt,1
36110,Attribution,1
36111,apostles,5
36112,oblivious,3
36113,signifying,1
36114,promontory,2
36115,kneels,2
36116,unconvincing,4
36117,cherubs,3
36118,funerary,9
36119,tonal,6
36120,den,14
36121,Casements,1
36122,eternity,35
36123,masterpieces,7
36124,facets,5
36125,disproportionately,10
36126,Apostle,4
36127,unbelief,2
36128,ecstasy,1
36129,analytical,7
36130,draughtsmanship,3
36131,Blamey,18
36132,Julian,3
36133,Halsby,1
36134,upholder,1
36135,Regent,3
36136,Polytechnic,6
36137,sun­dappled,1
36138,reappear,5
36139,panache,1
36140,cones,3
36141,cubes,4
36142,pyramids,3
36143,casts,3
36144,Lenfesty,1
36145,Reflection,2
36146,""".",4
36147,114.3,1
36148,185.4,1
36149,cm,160
36150,Greenham,1
36151,engage,10
36152,comprehension,1
36153,expressionist,1
36154,strokes,9
36155,charcoal,6
36156,Higman.,1
36157,38.1,1
36158,58.5,1
36159,Pancras,2
36160,101.6,1
36161,182.9,1
36162,Rizivi,1
36163,Impressionist,1
36164,ingrained,1
36165,83.8,1
36166,Kuhfield,1
36167,recalls,2
36168,anatomy,3
36169,outwards,10
36170,Impressionists,2
36171,Augustus,8
36172,Sickert,12
36173,flourishes,1
36174,swaggering,2
36175,Flemish,1
36176,Primitives,1
36177,Subjects,3
36178,old fashioned,12
36179,1956[ndash ]7,1
36180,Leagrave,1
36181,reuse,2
36182,Penitent,1
36183,vestments,1
36184,Portraits,3
36185,Clamey,1
36186,sitter,10
36187,sharpened,3
36188,sittings,3
36189,academics,2
36190,headmasters,1
36191,Weatherall,1
36192,Rees,4
36193,Mogg,1
36194,fibreboard,1
36195,MDF,3
36196,primed,5
36197,hardboard,6
36198,primer,4
36199,gesso,5
36200,whiting,1
36201,rub,25
36202,stripper,1
36203,luminosity,2
36204,palette,9
36205,masking,7
36206,titanium,6
36207,sienna,3
36208,cadmium,13
36209,ultramarine,5
36210,cerulean,6
36211,viridian,1
36212,alizarin,1
36213,realism,10
36214,wold,1
36215,Lynda,11
36216,Checketts,1
36217,figurative,2
36218,broadest,3
36219,165,6
36220,basics,7
36221,Picture-Making,1
36222,PATTERN,2
36223,TEXTURE,1
36224,evoke,1
36225,rekindle,1
36226,napthol,1
36227,violet,15
36228,pigment,12
36229,Feeling,2
36230,reflective,5
36231,restful,6
36232,cobalt,6
36233,stinging,2
36234,oranges,3
36235,over-night,1
36236,dissatisfaction,5
36237,assess,40
36238,For instance,17
36239,conveys,3
36240,funerals,3
36241,morbid,3
36242,diverse,12
36243,cultures,9
36244,multi-racial,2
36245,counter­balance,1
36246,solidity,1
36247,diffused,2
36248,scumbled,4
36249,railings,1
36250,turpentine,2
36251,scrubbing,10
36252,scumbling,6
36253,overload,2
36254,Heavily,1
36255,compacted,3
36256,breathable,1
36257,varies,21
36258,potency,3
36259,arid,1
36260,Glazing,1
36261,glazes,2
36262,oxide,8
36263,haired,4
36264,hazy,2
36265,skyline,1
36266,agitated,4
36267,diffuse,1
36268,atmospheric,2
36269,modifies,1
36270,obscuring,3
36271,complementaries,1
36272,subtractive,1
36273,compelled,2
36274,sells,6
36275,Push,3
36276,interweave,1
36277,Become,4
36278,in full,12
36279,Adding,5
36280,I-only-paint,1
36281,scudding,1
36282,repeating,12
36283,perceiving,2
36284,seascapes,1
36285,Note,26
36286,fast-flowing,1
36287,currents,2
36288,crests,1
36289,recreate,2
36290,Enriching,1
36291,Pattern,1
36292,enriching,3
36293,forceful,3
36294,weighty,6
36295,intertwine,1
36296,encrust,1
36297,congeal,1
36298,clot,4
36299,Gogh,8
36300,revels,2
36301,primaeval,1
36302,tracing,6
36303,acrylic,31
36304,Compose,1
36305,despondent,2
36306,uplifting,1
36307,emotionally,4
36308,portray,3
36309,Blending,1
36310,compress,2
36311,quieten,1
36312,animate,1
36313,enliven,1
36314,invigorates,1
36315,collographs,2
36316,queries,8
36317,passive,16
36318,Reactions,1
36319,subjective,8
36320,disliked,6
36321,intolerance,3
36322,aggressively,5
36323,vocabulary,14
36324,phrasing,2
36325,etc.,28
36326,insight,11
36327,COLLOGRAPH,1
36328,DEMONSTRATION,1
36329,inked,3
36330,frayed,2
36331,undisciplined,2
36332,sinuous,1
36333,uncooked,2
36334,grains,2
36335,textural,1
36336,grease-proof,1
36337,feather,7
36338,PVA,1
36339,collage,1
36340,presses,2
36341,Calligraphy,2
36342,greetings,3
36343,Middleton,3
36344,Scribes,2
36345,Illuminators,2
36346,letterform,3
36347,calligraphers,3
36348,Fellows,1
36349,Accordingly,20
36350,calligraphy,6
36351,lends,2
36352,ephemera,2
36353,calligrapher,6
36354,hard-won,2
36355,florid,1
36356,illumination,3
36357,characteristic,25
36358,lettering,3
36359,undecorated,1
36360,non-calligraphers,1
36361,Therefore,35
36362,black-on-white,1
36363,paste-ups,1
