,Term,BNC_Sampler_Counts
669,At present,9
670,third,387
671,Leader,10
672,comment,95
673,page,236
674,22,63
675,Brittan,3
676,steps,97
677,row,99
678,unification,8
679,John,620
680,Palmer,28
681,Brussels,40
682,SIR,4
683,Leon,11
684,senior,95
685,British,592
686,EC,145
687,Commissioner,12
688,European,395
689,Community,140
690,should,2491
691,welcome,112
692,providing,110
693,part,781
694,Sir,300
695,intervention,52
696,political,436
697,minefield,4
698,intra-German,1
699,relations,93
700,followed,184
701,call,502
702,earlier,242
703,colleague,17
704,Martin,97
705,Bangemann,3
706,agreement,161
707,giving,205
708,Grenada,14
709,annual,133
710,address,141
711,London,506
712,reunification,42
713,becoming,96
714,inevitable,41
715,natural,174
716,Western,76
717,view,294
718,prospects,39
719,anxiety,15
720,such,832
721,stop,307
722,happening,114
723,ever,475
724,allow,189
725,happen,202
726,unable,57
727,passage,26
728,bound,87
729,highly,127
730,controversial,20
731,present,313
732,situation,304
733,If,1321
734,partners,33
735,give,1204
736,impression,49
737,opposed,36
738,increase,238
739,what,6367
740,at present,40
741,small,767
742,risk,121
743,tempted,14
744,seek,108
745,basis,249
746,doing,1159
747,unilateral,4
748,deal,301
749,involving,42
750,setting,106
751,up,4736
752,unified,8
753,state,398
754,outside,399
755,words,459
756,opposing,11
757,make,1564
758,occur,76
759,form,774
760,least,67
761,contrast,55
762,declaration,45
763,Monday,194
764,asked,615
765,choose,134
766,desire,52
767,overcome,36
768,division,106
769,explicitly,12
770,appealed,17
771,suggest,133
772,immediate,82
773,issue,258
774,decided,237
775,without,629
776,dramatic,80
777,changes,265
778,security,169
779,whole,544
780,Republic,67
781,precondition,3
782,territory,52
783,absolutely,143
784,warmly,7
785,joining,35
786,admitting,7
787,member,227
788,simply,196
789,recognising,7
790,extension,50
791,existing,132
792,stated,78
793,For,619
794,possible,531
795,of course,526
796,essential,117
797,accept,175
798,liberal,21
799,democratic,45
800,institutions,61
801,rights,175
802,obligations,19
803,involved,268
804,approach,249
805,welcomed,33
806,nationalist-minded,1
807,rightwing,11
808,unlikely,73
809,endorsed,13
810,ministers,60
811,coalition,33
812,nor,103
813,opposition,140
814,South,241
815,holds,58
816,Gandhi,19
817,close,340
818,Derek,67
819,Brown,55
820,Madras,3
821,EVER,5
822,since,634
823,independence,59
824,Indian,65
825,elections,155
826,won,186
827,lost,318
828,month,313
829,poll,53
830,southern,77
831,states,122
832,play,486
833,role,205
834,perhaps,531
835,decisive,19
836,main,440
837,Andhra,3
838,Pradesh,5
839,Tamil,13
840,Nadu,2
841,Karnataka,3
842,Kerala,3
843,elect,21
844,129,2
845,members,449
846,Lok,3
847,Sabha,3
848,lower,167
849,parliament,55
850,Pondicherry,1
851,just,4353
852,MP,48
853,Rajiv,8
854,advised,19
855,called,634
856,Congress,116
857,win,224
858,70,28
859,seats,209
860,That,2590
861,forecast,26
862,party,636
863,sources,78
864,intelligence,49
865,bureau,2
866,become,406
867,wing,34
868,crucial,66
869,timing,27
870,before,1482
871,needs,389
872,200,31
873,nationally,19
874,reasonably,42
875,certain,296
876,short,289
877,majority,133
878,543-member,1
879,technically,16
880,dozen,43
881,factions,18
882,biggest,83
883,Venkataraman,2
884,event,124
885,hung,33
886,numbers,258
887,non-Congressmen,1
888,shamelessly,1
889,desert,17
890,winning,58
891,side,820
892,Thus,116
893,heavy,163
894,traditional,178
895,heartland,6
896,Ganges,1
897,Plain,8
898,chances,61
899,continuing,73
900,observers,20
901,estimate,26
902,wildly,4
903,enough,621
904,tip,24
