,Synsets,domain,vote,nrhypos,nrdirhypers,nrpartrels,depthfromtopsynset,glosslength,minwordlength,nroflemmas,polyscore_max,nrpartrels_normalised,depthfromtopsynset_normalised,glosslength_normalised,ngrams_last_mean,CHILDES_Sum_Rel,BNC_Sum
20,Synset('can_opener.n.01'),tool,b,1,1,0,10,30,10,2,1,0.0,1.0129032258064516,0.4693104822638501,-16.7853919,1.7555588013887174e-17,1e-10
21,Synset('carpenter's_hammer.n.01'),tool,nb,0,1,0,10,50,10,3,1,0.0,1.0129032258064516,0.7821841371064169,-17.92629977,1.7555588013887174e-17,1e-10
22,Synset('carpenter's_mallet.n.01'),tool,nb,0,1,0,11,74,18,1,1,0.0,1.1141935483870968,1.157632522917497,-20.25881761,1.7555588013887174e-17,1e-10
23,Synset('carpenter's_square.n.01'),tool,nb,0,1,0,10,59,18,1,1,0.0,1.0129032258064516,0.922977281785572,-17.92136369,1.7555588013887174e-17,1e-10
24,Synset('carriage_wrench.n.01'),tool,nb,0,1,0,10,45,15,1,1,0.0,1.0129032258064516,0.7039657233957752,-23.02585093,1.7555588013887174e-17,1e-10
25,Synset('chain_tongs.n.01'),tool,nb,1,1,1,12,144,11,1,1,7.85,1.215483870967742,2.2526903148664807,-20.56293072,1.7555588013887174e-17,1e-10
26,Synset('chain_wrench.n.01'),tool,nb,0,1,0,13,28,12,1,1,0.0,1.3167741935483872,0.4380231167795934,-23.74098453,1.7555588013887174e-17,1e-10
27,Synset('chamfer_plane.n.01'),tool,nb,0,1,0,10,33,13,1,1,0.0,1.0129032258064516,0.5162415304902351,-20.33978712,1.7555588013887174e-17,1e-10
28,Synset('church_key.n.01'),tool,nb,0,1,0,11,74,10,1,1,0.0,1.1141935483870968,1.157632522917497,-18.47829434,1.7555588013887174e-17,1e-10
29,Synset('circular_plane.n.01'),tool,nb,0,1,0,10,70,13,2,1,0.0,1.0129032258064516,1.0950577919489837,-19.21919598,1.7555588013887174e-17,1e-10
30,Synset('coal_shovel.n.01'),tool,nb,0,1,0,10,32,11,1,1,0.0,1.0129032258064516,0.5005978477481068,-18.67208028,1.7555588013887174e-17,1e-10
31,Synset('combination_plane.n.01'),tool,nb,0,1,0,10,70,17,1,1,0.0,1.0129032258064516,1.0950577919489837,-20.33978712,1.7555588013887174e-17,1e-10
32,Synset('compass_saw.n.01'),tool,nb,0,1,0,11,59,11,1,1,0.0,1.1141935483870968,0.922977281785572,-19.69793328,1.7555588013887174e-17,1e-10
33,Synset('coping_saw.n.01'),tool,nb,0,1,0,11,71,10,1,1,0.0,1.1141935483870968,1.110701474691112,-17.8521066,1.7555588013887174e-17,1e-10
34,Synset('crescent_wrench.n.01'),tool,nb,0,1,0,11,110,15,1,1,0.0,1.1141935483870968,1.7208051016341173,-18.6472343,1.7555588013887174e-17,1e-10
35,Synset('crosscut_saw.n.01'),tool,nb,0,1,0,11,62,10,3,1,0.0,1.1141935483870968,0.969908330011957,-18.58384675,1.7555588013887174e-17,1e-10
36,Synset('crown_saw.n.01'),tool,nb,0,1,0,10,55,9,1,1,0.0,1.0129032258064516,0.8604025508170586,-20.13006662,1.7555588013887174e-17,1e-10
37,Synset('dado_plane.n.01'),tool,nb,0,1,0,11,32,10,1,1,0.0,1.1141935483870968,0.5005978477481068,-21.54375995,1.7555588013887174e-17,1e-10
38,Synset('ditch_spade.n.01'),tool,nb,0,1,0,11,53,11,2,1,0.0,1.1141935483870968,0.8291151853328019,-20.52867063,1.7555588013887174e-17,1e-10
39,Synset('dog_wrench.n.01'),tool,nb,0,1,0,10,42,10,1,1,0.0,1.0129032258064516,0.6570346751693902,-22.35469017,1.7555588013887174e-17,1e-10
40,Synset('dovetail_plane.n.01'),tool,nb,0,1,0,10,68,14,1,1,0.0,1.0129032258064516,1.063770426464727,-23.02585093,1.7555588013887174e-17,1e-10
41,Synset('entrenching_tool.n.01'),tool,nb,0,1,0,10,57,15,2,1,0.0,1.0129032258064516,0.8916899163013152,-18.56483482,1.7555588013887174e-17,1e-10
42,Synset('file.n.04'),tool,b,7,1,1,9,105,4,1,9,7.85,0.9116129032258066,1.6425866879234754,-9.721257642,7.022235205554869e-07,5226.0
43,Synset('flat_file.n.01'),tool,nb,0,1,0,10,29,9,1,1,0.0,1.0129032258064516,0.4536667995217218,-16.66771483,1.7555588013887174e-17,1e-10
44,Synset('flat_tip_screwdriver.n.01'),tool,nb,0,1,0,10,87,20,1,1,0.0,1.0129032258064516,1.3610003985651653,-23.02585093,1.7555588013887174e-17,1e-10
45,Synset('float.n.05'),tool,b,0,1,0,9,104,5,2,16,0.0,0.9116129032258066,1.6269430051813472,-12.50989154,1.4044470411109735e-06,869.0
46,Synset('folding_saw.n.01'),tool,nb,0,1,0,10,81,11,1,1,0.0,1.0129032258064516,1.2671383021123954,-20.56293072,1.7555588013887174e-17,1e-10
47,Synset('fore_plane.n.01'),tool,nb,0,1,0,10,73,10,1,1,0.0,1.0129032258064516,1.1419888401753686,-20.18563645,1.7555588013887174e-17,1e-10
48,Synset('garden_spade.n.01'),tool,nb,0,1,0,11,25,12,1,1,0.0,1.1141935483870968,0.3910920685532084,-18.4628699,1.7555588013887174e-17,1e-10
49,Synset('garden_trowel.n.01'),tool,nb,0,1,0,10,26,13,1,1,0.0,1.0129032258064516,0.4067357512953368,-18.04054098,1.7555588013887174e-17,1e-10
50,Synset('gavel.n.01'),tool,nb,0,1,0,11,53,5,1,1,0.0,1.1141935483870968,0.8291151853328019,-14.8318801,1.7555588013887174e-17,19.0
51,Synset('hacksaw.n.01'),tool,nb,0,1,0,10,40,7,3,1,0.0,1.0129032258064516,0.6257473096851335,-17.276416,1.7555588013887174e-17,68.0
52,Synset('hammer.n.02'),tool,b,9,1,2,9,96,6,1,10,15.7,0.9116129032258066,1.5017935432443204,-11.8926874,6.916901677471546e-05,915.0
53,Synset('hand_shovel.n.01'),tool,nb,6,2,0,9,33,11,1,1,0.0,0.9116129032258066,0.5162415304902351,-19.78974078,1.7555588013887174e-17,1e-10
54,Synset('hand_tool.n.01'),tool,nb,156,1,1,8,31,9,1,1,7.85,0.8103225806451614,0.4849541650059785,-17.13298386,1.7555588013887174e-17,1e-10
55,Synset('handsaw.n.01'),tool,nb,8,1,0,10,41,7,3,1,0.0,1.0129032258064516,0.6413909924272618,-17.41209452,1.7555588013887174e-17,10.0
56,Synset('hook_wrench.n.01'),tool,nb,0,1,0,10,54,11,2,1,0.0,1.0129032258064516,0.8447588680749303,-23.04783737,1.7555588013887174e-17,1e-10
57,Synset('icepick.n.01'),tool,b,0,1,1,10,85,7,2,1,7.85,1.0129032258064516,1.3297130330809086,-17.05121818,5.266676404166152e-07,1e-10
58,Synset('jack_plane.n.01'),tool,nb,0,1,0,10,39,10,1,1,0.0,1.0129032258064516,0.6101036269430051,-18.33830711,1.7555588013887174e-17,1e-10
59,Synset('jointer.n.01'),tool,nb,0,1,0,10,84,7,4,1,0.0,1.0129032258064516,1.3140693503387804,-17.992817,1.7555588013887174e-17,2.0
60,Synset('keyhole_saw.n.01'),tool,nb,0,1,0,11,92,11,1,1,0.0,1.1141935483870968,1.4392188122758072,-18.94519399,1.7555588013887174e-17,1e-10
61,Synset('locking_pliers.n.01'),tool,nb,0,1,0,10,34,14,1,1,0.0,1.0129032258064516,0.5318852132323635,-19.2866372,1.7555588013887174e-17,1e-10
62,Synset('lug_wrench.n.01'),tool,nb,0,1,1,10,87,10,1,1,7.85,1.0129032258064516,1.3610003985651653,-18.31603455,1.7555588013887174e-17,1e-10
63,Synset('match_plane.n.01'),tool,nb,0,1,0,10,91,11,2,1,0.0,1.0129032258064516,1.4235751295336787,-23.74098453,1.7555588013887174e-17,1e-10
64,Synset('maul.n.01'),tool,nb,0,1,0,10,58,4,3,5,0.0,1.0129032258064516,0.9073335990434436,-14.23061682,5.442232284305023e-06,255.0
65,Synset('miter_box.n.01'),tool,b,0,1,0,9,66,9,2,1,0.0,0.9116129032258066,1.0324830609804705,-18.66269059,1.7555588013887174e-17,1e-10
66,Synset('monkey-wrench.n.01'),tool,nb,0,1,0,11,59,13,2,1,0.0,1.1141935483870968,0.922977281785572,-17.06518107,1.7555588013887174e-17,2.0
67,Synset('nailfile.n.01'),tool,nb,0,1,0,10,39,8,1,1,0.0,1.0129032258064516,0.6101036269430051,-20.6970726,1.7555588013887174e-17,6.0
68,Synset('needlenose_pliers.n.01'),tool,nb,0,1,0,10,46,17,1,1,0.0,1.0129032258064516,0.7196094061379036,-18.95349275,1.7555588013887174e-17,1e-10
69,Synset('open-end_wrench.n.01'),tool,nb,1,1,0,10,84,13,2,1,0.0,1.0129032258064516,1.3140693503387804,-19.89268182,1.7555588013887174e-17,1e-10
70,Synset('openside_plane.n.01'),tool,nb,1,1,0,10,43,12,2,1,0.0,1.0129032258064516,0.6726783579115185,-20.10339839,1.7555588013887174e-17,1e-10
71,Synset('palette_knife.n.01'),tool,nb,0,1,0,10,75,13,1,1,0.0,1.0129032258064516,1.173276205659625,-16.63930855,1.7555588013887174e-17,1e-10
72,Synset('pestle.n.03'),tool,b,0,1,0,9,70,6,1,4,0.0,0.9116129032258066,1.0950577919489837,-14.67423048,1.7555588013887174e-17,22.0
73,Synset('phillips_screwdriver.n.01'),tool,nb,0,1,0,10,42,20,1,1,0.0,1.0129032258064516,0.6570346751693902,-18.17646412,1.7555588013887174e-17,1e-10
74,Synset('pick.n.06'),tool,nb,2,1,0,9,58,4,1,21,0.0,0.9116129032258066,0.9073335990434436,-10.43879762,0.0002131248384885,5832.0
75,Synset('pin_wrench.n.01'),tool,nb,0,1,0,10,85,10,1,1,0.0,1.0129032258064516,1.3297130330809086,-21.94922508,1.7555588013887174e-17,1e-10
76,Synset('pincer.n.01'),tool,b,1,1,0,9,67,6,4,2,0.0,0.9116129032258066,1.0481267437225987,-16.47169973,1.7555588013887174e-07,28.0
77,Synset('pipe_wrench.n.01'),tool,nb,3,1,0,11,107,11,2,1,0.0,1.1141935483870968,1.673874053407732,-18.57050052,1.7555588013887174e-17,1e-10
78,Synset('pitchfork.n.01'),tool,b,0,1,1,9,85,9,1,2,7.85,0.9116129032258066,1.3297130330809086,-14.93895969,1.7555588013887174e-17,42.0
79,Synset('pitsaw.n.01'),tool,nb,0,1,0,11,118,6,1,1,0.0,1.1141935483870968,1.845954563571144,-21.05374751,1.7555588013887174e-17,3.0
80,Synset('plane.n.05'),tool,b,17,2,0,9,78,5,3,9,0.0,0.9116129032258066,1.2202072538860105,-11.2985753,6.811568149388224e-05,3315.0
81,Synset('plastering_trowel.n.01'),tool,nb,0,1,0,10,42,17,1,1,0.0,1.0129032258064516,0.6570346751693902,-20.7452523,1.7555588013887174e-17,1e-10
82,Synset('plexor.n.01'),tool,nb,0,1,0,10,113,6,3,1,0.0,1.0129032258064516,1.7677361498605022,-20.08188693,1.7555588013887174e-17,1e-10
83,Synset('pliers.n.01'),tool,b,5,2,1,9,69,6,3,2,7.85,0.9116129032258066,1.0794141092068552,-15.26240484,1.8082255654303788e-05,67.0
84,Synset('plunger.n.03'),tool,b,0,1,0,9,98,7,2,4,0.0,0.9116129032258066,1.533080908728577,-14.8706301,5.266676404166152e-07,46.0
85,Synset('pointing_trowel.n.01'),tool,nb,0,1,0,10,69,15,1,1,0.0,1.0129032258064516,1.0794141092068552,-19.75200048,1.7555588013887174e-17,1e-10
86,Synset('posthole_digger.n.01'),tool,nb,0,1,0,10,31,15,2,1,0.0,1.0129032258064516,0.4849541650059785,-19.14555467,1.7555588013887174e-17,1e-10
87,Synset('pruner.n.02'),tool,nb,0,1,0,12,108,6,3,2,0.0,1.215483870967742,1.6895177361498606,-18.08878688,1.7555588013887174e-17,2.0
88,Synset('pruning_saw.n.01'),tool,nb,1,1,0,11,32,11,1,1,0.0,1.1141935483870968,0.5005978477481068,-18.84314475,1.7555588013887174e-17,1e-10
89,Synset('pump-type_pliers.n.01'),tool,nb,0,1,0,10,16,16,1,1,0.0,1.0129032258064516,0.2502989238740534,-23.02585093,1.7555588013887174e-17,1e-10
90,Synset('rasp.n.02'),tool,nb,0,1,0,10,44,4,2,4,0.0,1.0129032258064516,0.6883220406536469,-15.43543427,1.7555588013887174e-17,75.0
91,Synset('rat-tail_file.n.01'),tool,nb,0,1,0,10,47,13,1,1,0.0,1.0129032258064516,0.7352530888800318,-18.88001196,1.7555588013887174e-17,1e-10
92,Synset('rib_joint_pliers.n.01'),tool,nb,0,1,0,10,16,16,1,1,0.0,1.0129032258064516,0.2502989238740534,-23.02585093,1.7555588013887174e-17,1e-10
93,Synset('ripsaw.n.01'),tool,nb,0,1,0,11,48,6,2,1,0.0,1.1141935483870968,0.7508967716221602,-19.20980226,1.7555588013887174e-17,1.0
94,Synset('roach_clip.n.01'),tool,nb,0,1,0,10,56,10,2,1,0.0,1.0129032258064516,0.8760462335591869,-20.46383977,1.7555588013887174e-17,1e-10
95,Synset('round_file.n.01'),tool,nb,0,1,0,10,70,10,1,1,0.0,1.0129032258064516,1.0950577919489837,-17.97266358,1.7555588013887174e-17,1e-10
96,Synset('router_plane.n.01'),tool,nb,0,1,0,10,89,12,1,1,0.0,1.0129032258064516,1.392287764049422,-20.90777122,1.7555588013887174e-17,1e-10
97,Synset('s_wrench.n.01'),tool,nb,0,1,0,11,32,8,1,1,0.0,1.1141935483870968,0.5005978477481068,-22.64237227,1.7555588013887174e-17,1e-10
98,Synset('saw.n.02'),tool,b,16,1,2,9,44,3,1,28,15.7,0.9116129032258066,0.6883220406536469,-8.341297774,0.0002008359268788,24873.0
99,Synset('scauper.n.01'),tool,nb,0,1,0,10,67,7,2,1,0.0,1.0129032258064516,1.0481267437225987,-21.12785551,1.7555588013887174e-17,1e-10
100,Synset('scoop.n.05'),tool,nb,0,1,2,10,43,5,2,8,15.7,1.0129032258064516,0.6726783579115185,-14.03568757,6.671123445277125e-06,287.0
101,Synset('screw_key.n.01'),tool,nb,0,1,0,10,28,9,1,1,0.0,1.0129032258064516,0.4380231167795934,-20.37368873,1.7555588013887174e-17,1e-10
102,Synset('screw_wrench.n.01'),tool,nb,0,1,0,11,74,12,1,1,0.0,1.1141935483870968,1.157632522917497,-20.7452523,1.7555588013887174e-17,1e-10
103,Synset('screwdriver.n.01'),tool,b,3,1,0,9,76,11,1,2,0.0,0.9116129032258066,1.1889198884017538,-14.51529756,2.1944485017358967e-05,206.0
104,Synset('scriber.n.01'),tool,nb,0,1,0,10,55,6,3,5,0.0,1.0129032258064516,0.8604025508170586,-14.31715671,1.7555588013887174e-17,138.0
105,Synset('scrub_plane.n.01'),tool,nb,0,1,0,10,56,11,1,1,0.0,1.0129032258064516,0.8760462335591869,-20.90777122,1.7555588013887174e-17,1e-10
106,Synset('set_square.n.01'),tool,nb,0,1,0,11,44,10,1,1,0.0,1.1141935483870968,0.6883220406536469,-17.13704075,1.7555588013887174e-17,1e-10
107,Synset('shovel.n.01'),tool,b,9,1,0,9,92,6,1,5,0.0,0.9116129032258066,1.4392188122758072,-12.95155043,1.8082255654303788e-05,188.0
108,Synset('slice.n.06'),tool,nb,0,1,0,10,36,5,1,10,0.0,1.0129032258064516,0.5631725787166202,-12.05224278,9.655573407637946e-06,993.0
109,Synset('slick.n.04'),tool,nb,0,1,0,10,37,5,1,10,0.0,1.0129032258064516,0.5788162614587485,-13.19298392,1.7555588013887174e-17,346.0
110,Synset('slip-joint_pliers.n.01'),tool,nb,0,1,0,10,92,17,1,1,0.0,1.0129032258064516,1.4392188122758072,-19.85799629,1.7555588013887174e-17,1e-10
111,Synset('smooth_plane.n.01'),tool,nb,0,1,0,10,29,12,2,1,0.0,1.0129032258064516,0.4536667995217218,-17.96954341,1.7555588013887174e-17,1e-10
112,Synset('socket_wrench.n.01'),tool,nb,0,1,1,10,74,13,1,1,7.85,1.0129032258064516,1.157632522917497,-17.86886674,1.7555588013887174e-17,1e-10
113,Synset('soldering_iron.n.01'),tool,b,0,1,0,9,62,14,1,1,0.0,0.9116129032258066,0.969908330011957,-16.3120573,1.7555588013887174e-17,1e-10
114,Synset('sparkplug_wrench.n.01'),tool,nb,0,1,0,10,103,16,1,1,0.0,1.0129032258064516,1.6112993224392187,-23.02585093,1.7555588013887174e-17,1e-10
115,Synset('spiral_ratchet_screwdriver.n.01'),tool,nb,0,1,1,10,158,19,2,1,7.85,1.0129032258064516,2.471701873256277,-21.53829058,1.7555588013887174e-17,1e-10
116,Synset('spokeshave.n.01'),tool,nb,0,1,0,10,142,10,1,1,0.0,1.0129032258064516,2.221402949382224,-17.8235079,1.7555588013887174e-17,9.0
117,Synset('spud.n.02'),tool,nb,0,1,0,10,51,4,2,4,0.0,1.0129032258064516,0.7978278198485452,-17.00134166,1.7555588013887174e-17,17.0
118,Synset('square.n.08'),tool,b,4,1,0,9,99,6,1,25,0.0,0.9116129032258066,1.5487245914707055,-9.914785383,4.125563183263485e-05,4739.0
119,Synset('stillson_wrench.n.01'),tool,nb,0,1,0,12,101,15,1,1,0.0,1.215483870967742,1.5800119569549622,-20.21462403,1.7555588013887174e-17,1e-10
120,Synset('straightedge.n.01'),tool,b,0,1,0,9,137,12,1,1,0.0,0.9116129032258066,2.1431845356715824,-15.96306948,1.7555588013887174e-17,2.0
121,Synset('t-square.n.01'),tool,nb,0,2,0,9,49,8,1,1,0.0,0.9116129032258066,0.7665404543642885,-16.61615102,1.7555588013887174e-17,6.0
122,Synset('tack_hammer.n.01'),tool,nb,0,1,0,10,42,11,1,1,0.0,1.0129032258064516,0.6570346751693902,-18.55920102,1.7555588013887174e-17,1e-10
123,Synset('tap_wrench.n.01'),tool,nb,0,1,0,10,61,10,1,1,0.0,1.0129032258064516,0.9542646472698286,-19.39717907,1.7555588013887174e-17,1e-10
124,Synset('taper_file.n.01'),tool,nb,0,1,0,10,28,10,1,1,0.0,1.0129032258064516,0.4380231167795934,-21.94922508,1.7555588013887174e-17,1e-10
125,Synset('tire_iron.n.01'),tool,b,0,2,0,9,103,9,2,1,0.0,0.9116129032258066,1.6112993224392187,-17.2166883,1.7555588013887174e-17,1e-10
126,Synset('toothpick.n.01'),tool,b,0,2,0,8,93,9,1,1,0.0,0.8103225806451614,1.4548624950179354,-14.60068507,1.7555588013887174e-17,22.0
127,Synset('torque_wrench.n.01'),tool,nb,0,1,0,10,75,13,1,1,0.0,1.0129032258064516,1.173276205659625,-17.18562765,1.7555588013887174e-17,1e-10
128,Synset('trowel.n.01'),tool,b,5,1,0,9,113,6,1,2,0.0,0.9116129032258066,1.7677361498605022,-14.48426612,5.266676404166152e-07,100.0
129,Synset('try_square.n.01'),tool,nb,1,1,0,10,75,10,1,1,0.0,1.0129032258064516,1.173276205659625,-18.39865032,1.7555588013887174e-17,1e-10
130,Synset('two-handed_saw.n.01'),tool,nb,1,1,0,10,63,7,4,3,0.0,1.0129032258064516,0.9855520127540852,-18.83213946,1.7555588013887174e-17,1.0
131,Synset('weeder.n.02'),tool,b,0,1,0,9,30,6,2,2,0.0,0.9116129032258066,0.4693104822638501,-17.99403492,1.7555588013887174e-17,2.0
132,Synset('wrench.n.03'),tool,b,25,1,1,9,55,6,2,7,7.85,0.9116129032258066,0.8604025508170586,-14.00806427,1.6502252733053942e-05,298.0
133,Synset('acerola.n.02'),fruit,nb,0,1,1,8,88,7,4,3,1.3401360544217686,1.0012706480304956,1.39558847206569,-20.15184551,1.7555588013887174e-17,1e-10
134,Synset('ackee.n.01'),fruit,b,0,1,1,7,95,4,2,2,1.3401360544217686,0.8761118170266836,1.5066011914345516,-17.58801157,1.7555588013887174e-17,1e-10
135,Synset('amarelle.n.02'),fruit,nb,0,1,1,9,61,8,1,2,1.3401360544217686,1.1264294790343077,0.9673965545000806,-23.69280483,1.7555588013887174e-17,1e-10
136,Synset('anchovy_pear.n.02'),fruit,b,0,1,1,7,53,10,2,2,1.3401360544217686,0.8761118170266836,0.8405248752213814,-22.48822157,1.7555588013887174e-17,1e-10
137,Synset('anjou.n.02'),fruit,nb,0,1,0,8,39,5,1,2,0.0,1.0012706480304956,0.618499436483658,-19.63236184,1.7555588013887174e-17,1e-10
138,Synset('apple.n.01'),fruit,b,26,2,1,7,76,5,1,2,1.3401360544217686,0.8761118170266836,1.2052809531476414,-11.4142441,0.0002122470590878,1249.0
139,Synset('apricot.n.02'),fruit,b,0,1,1,7,59,7,1,3,1.3401360544217686,0.8761118170266836,0.9356786346804058,-14.25174964,1.5800029212498455e-06,186.0
140,Synset('avocado.n.01'),fruit,b,0,1,1,7,110,7,4,3,1.3401360544217686,0.8761118170266836,1.7444855900821123,-15.73468522,1.228891160972102e-06,77.0
141,Synset('baldwin.n.03'),fruit,nb,0,1,0,9,56,7,1,3,0.0,1.1264294790343077,0.8881017549508936,-12.26527387,1.7555588013887174e-17,982.0
142,Synset('bartlett.n.03'),fruit,nb,0,1,0,8,17,8,2,3,0.0,1.0012706480304956,0.2696023184672355,-20.12459798,1.7555588013887174e-17,1e-10
143,Synset('beach_plum.n.02'),fruit,nb,0,1,1,8,56,10,1,2,1.3401360544217686,1.0012706480304956,0.8881017549508936,-19.01359669,1.7555588013887174e-17,1e-10
144,Synset('bilberry.n.03'),fruit,nb,0,1,1,8,50,8,3,3,1.3401360544217686,1.0012706480304956,0.7929479954918693,-17.35538212,1.7555588013887174e-17,21.0
145,Synset('bing_cherry.n.01'),fruit,nb,0,1,0,9,33,11,1,1,0.0,1.1264294790343077,0.5233456770246337,-21.34308924,1.7555588013887174e-17,1e-10
146,Synset('bitter_orange.n.02'),fruit,nb,0,1,1,9,49,11,3,2,1.3401360544217686,1.1264294790343077,0.7770890355820319,-17.74868699,1.7555588013887174e-17,1e-10
147,Synset('black_currant.n.02'),fruit,nb,0,1,1,9,44,13,1,2,1.3401360544217686,1.1264294790343077,0.697794236032845,-16.77684889,1.7555588013887174e-17,1e-10
148,Synset('blackheart.n.02'),fruit,nb,0,1,0,10,44,10,2,2,0.0,1.2515883100381195,0.697794236032845,-19.90968477,1.7555588013887174e-17,1.0
149,Synset('bosc.n.01'),fruit,nb,0,1,0,8,20,4,1,1,0.0,1.0012706480304956,0.3171791981967477,-19.78078186,1.7555588013887174e-17,1e-10
150,Synset('boysenberry.n.02'),fruit,nb,0,1,1,8,74,11,1,2,1.3401360544217686,1.0012706480304956,1.1735630333279663,-18.31752641,1.7555588013887174e-17,1e-10
151,Synset('bramley's_seedling.n.01'),fruit,nb,0,1,0,9,24,18,1,1,0.0,1.1264294790343077,0.3806150378360972,-19.22689669,1.7555588013887174e-17,1e-10
152,Synset('breadfruit.n.02'),fruit,b,0,1,1,7,157,10,1,2,1.3401360544217686,0.8761118170266836,2.4898567058444696,-15.41336131,1.7555588013887174e-17,11.0
153,Synset('canistel.n.02'),fruit,b,0,1,1,7,64,8,2,2,1.3401360544217686,0.8761118170266836,1.0149734342295926,-20.95196484,1.7555588013887174e-17,1e-10
154,Synset('cantaloup.n.02'),fruit,nb,0,1,1,9,79,9,2,2,1.3401360544217686,1.1264294790343077,1.2528578328771536,-16.21661558,1.7555588013887174e-17,4.0
155,Synset('capulin.n.02'),fruit,nb,0,1,1,8,20,7,2,2,1.3401360544217686,1.0012706480304956,0.3171791981967477,-21.44151305,1.7555588013887174e-17,1e-10
156,Synset('carambola.n.02'),fruit,b,0,1,1,7,110,9,2,2,1.3401360544217686,0.8761118170266836,1.7444855900821123,-17.84375568,1.7555588013887174e-17,1e-10
157,Synset('casaba.n.01'),fruit,nb,0,1,0,10,45,6,2,1,0.0,1.2515883100381195,0.7136531959426824,-19.79990058,1.7555588013887174e-17,1e-10
158,Synset('catawba.n.02'),fruit,nb,0,1,0,10,46,7,1,3,0.0,1.2515883100381195,0.7295121558525197,-15.13408587,1.7555588013887174e-17,1e-10
159,Synset('ceriman.n.02'),fruit,b,0,1,1,7,77,7,2,2,1.3401360544217686,0.8761118170266836,1.2211399130574787,-20.18125936,1.7555588013887174e-17,1.0
160,Synset('cherry.n.03'),fruit,b,8,2,1,7,36,6,1,5,1.3401360544217686,0.8761118170266836,0.5709225567541459,-12.59447097,7.724458726110356e-06,468.0
