,Synsets,Domain,nrhypos,nrdirhypers,nrpartrels,depthfromtopsynset,glosslength,minwordlength,nroflemmas,polyscore_max,ngrams_last_mean,nrpartrels_normalised,depthfromtopsynset_normalised,glosslength_normalised,vote
478,Synset('serpent.n.03'),music,0,1,0,11,42,7,1,3,-12.06722051,0.0,1.0913490623109496,0.5315635128877914,nb
479,Synset('shawm.n.01'),music,1,1,0,13,15,5,1,1,-17.34366583,0.0,1.2897761645493042,0.1898441117456397,nb
480,Synset('single-reed_instrument.n.01'),music,6,1,0,11,73,20,2,1,-21.77038368,0.0,1.0913490623109496,0.9239080104954468,nb
481,Synset('sitar.n.01'),music,0,1,0,9,137,5,1,1,-16.23116447,0.0,0.8929219600725952,1.7339095539435097,b
482,Synset('snare_drum.n.01'),music,0,1,1,10,71,5,3,7,-14.13252758,3.9047619047619047,0.9921355111917723,0.8985954622626948,nb
483,Synset('sourdine.n.02'),music,0,1,0,11,45,8,1,2,-19.33609603,0.0,1.0913490623109496,0.5695323352369193,nb
484,Synset('spinet.n.01'),music,0,1,0,11,41,6,1,2,-16.00434946,0.0,1.0913490623109496,0.5189072387714153,nb
485,Synset('spinet.n.02'),music,0,1,0,11,53,6,1,2,-16.00434946,0.0,1.0913490623109496,0.6707825281679272,nb
486,Synset('steel_drum.n.01'),music,0,1,0,9,166,10,1,1,-17.55889963,0.0,0.8929219600725952,2.1009415033184133,b
487,Synset('stradavarius.n.01'),music,0,1,0,11,61,5,2,1,-17.64189285,0.0,1.0913490623109496,0.772032721098935,nb
488,Synset('stringed_instrument.n.01'),music,48,1,4,8,70,19,1,1,-15.95692752,15.61904761904762,0.793708408953418,0.8859391881463189,nb
489,Synset('synthesizer.n.02'),music,0,2,0,9,170,11,2,2,-15.20267459,0.0,0.8929219600725952,2.151566599783917,b
490,Synset('tabor_pipe.n.01'),music,0,1,0,12,99,10,1,1,-22.35469017,0.0,1.190562613430127,1.2529711375212225,nb
